motion,video_name,video_path
backhand2hands,p10_backhand2h_s1.avi,THETIS\VIDEO_RGB\backhand2hands\p10_backhand2h_s1.avi
backhand2hands,p10_backhand2h_s2.avi,THETIS\VIDEO_RGB\backhand2hands\p10_backhand2h_s2.avi
backhand2hands,p10_backhand2h_s3.avi,THETIS\VIDEO_RGB\backhand2hands\p10_backhand2h_s3.avi
backhand2hands,p12_backhand2h_s1.avi,THETIS\VIDEO_RGB\backhand2hands\p12_backhand2h_s1.avi
backhand2hands,p12_backhand2h_s2.avi,THETIS\VIDEO_RGB\backhand2hands\p12_backhand2h_s2.avi
backhand2hands,p12_backhand2h_s3.avi,THETIS\VIDEO_RGB\backhand2hands\p12_backhand2h_s3.avi
backhand2hands,p13_backhand2h_s1.avi,THETIS\VIDEO_RGB\backhand2hands\p13_backhand2h_s1.avi
backhand2hands,p13_backhand2h_s2.avi,THETIS\VIDEO_RGB\backhand2hands\p13_backhand2h_s2.avi
backhand2hands,p16_backhand2h_s1.avi,THETIS\VIDEO_RGB\backhand2hands\p16_backhand2h_s1.avi
backhand2hands,p16_backhand2h_s2.avi,THETIS\VIDEO_RGB\backhand2hands\p16_backhand2h_s2.avi
backhand2hands,p16_backhand2h_s3.avi,THETIS\VIDEO_RGB\backhand2hands\p16_backhand2h_s3.avi
backhand2hands,p17_backhand2h_s1.avi,THETIS\VIDEO_RGB\backhand2hands\p17_backhand2h_s1.avi
backhand2hands,p17_backhand2h_s2.avi,THETIS\VIDEO_RGB\backhand2hands\p17_backhand2h_s2.avi
backhand2hands,p17_backhand2h_s3.avi,THETIS\VIDEO_RGB\backhand2hands\p17_backhand2h_s3.avi
backhand2hands,p18_backhand2h_s1.avi,THETIS\VIDEO_RGB\backhand2hands\p18_backhand2h_s1.avi
backhand2hands,p18_backhand2h_s2.avi,THETIS\VIDEO_RGB\backhand2hands\p18_backhand2h_s2.avi
backhand2hands,p19_backhand2h_s1.avi,THETIS\VIDEO_RGB\backhand2hands\p19_backhand2h_s1.avi
backhand2hands,p19_backhand2h_s2.avi,THETIS\VIDEO_RGB\backhand2hands\p19_backhand2h_s2.avi
backhand2hands,p19_backhand2h_s3.avi,THETIS\VIDEO_RGB\backhand2hands\p19_backhand2h_s3.avi
backhand2hands,p23_backhand2h_s1.avi,THETIS\VIDEO_RGB\backhand2hands\p23_backhand2h_s1.avi
backhand2hands,p23_backhand2h_s2.avi,THETIS\VIDEO_RGB\backhand2hands\p23_backhand2h_s2.avi
backhand2hands,p23_backhand2h_s3.avi,THETIS\VIDEO_RGB\backhand2hands\p23_backhand2h_s3.avi
