nose_x,nose_y,nose_v,left_eye_x,left_eye_y,left_eye_v,right_eye_x,right_eye_y,right_eye_v,left_ear_x,left_ear_y,left_ear_v,right_ear_x,right_ear_y,right_ear_v,left_shoulder_x,left_shoulder_y,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_v,left_elbow_x,left_elbow_y,left_elbow_v,right_elbow_x,right_elbow_y,right_elbow_v,left_wrist_x,left_wrist_y,left_wrist_v,right_wrist_x,right_wrist_y,right_wrist_v,left_hip_x,left_hip_y,left_hip_v,right_hip_x,right_hip_y,right_hip_v,left_knee_x,left_knee_y,left_knee_v,right_knee_x,right_knee_y,right_knee_v,left_ankle_x,left_ankle_y,left_ankle_v,right_ankle_x,right_ankle_y,right_ankle_v,class
284.2832,109.34653,0.9989624,290.87445,103.57776,0.9936971,278.25638,102.76836,0.9959318,298.82086,109.625824,0.80466527,267.70383,107.69803,0.9366996,312.12338,150.97766,0.99962664,250.10538,149.95233,0.9994854,316.16217,200.62015,0.99661934,244.13345,197.04916,0.9943408,291.92584,227.25922,0.99631965,265.50928,207.0776,0.9953709,302.6217,246.21329,0.99985754,261.7095,245.4567,0.99981517,301.80573,311.44952,0.999736,268.5397,307.1806,0.99954575,303.87592,376.01678,0.9951742,278.77335,344.6935,0.9925442,1.0
284.4756,109.25003,0.9989942,291.04633,103.4366,0.99380684,278.3595,102.72818,0.99606234,299.0389,109.46933,0.80787945,267.77237,107.80058,0.9393951,312.1667,150.81662,0.99964905,250.48523,150.09225,0.9995266,315.8414,200.5879,0.99681985,244.2958,197.34856,0.99482214,291.5466,227.28238,0.99647516,265.0571,206.84451,0.9956743,302.671,245.99742,0.999861,261.95587,245.3003,0.9998216,301.99625,310.98334,0.9997335,268.4483,306.6286,0.99954504,303.9836,376.31055,0.99499434,278.71866,344.44684,0.9923151,1.0
284.2788,109.2601,0.99905664,291.0304,103.554596,0.9946161,278.26425,102.728424,0.9960401,299.2119,109.929474,0.83095515,267.8138,107.95593,0.93284285,312.27518,151.04384,0.9996536,250.55441,150.21265,0.9995035,316.00693,200.57669,0.9968208,243.9952,197.39453,0.99433327,291.3062,227.92957,0.9964309,264.8931,206.68886,0.995288,302.66544,246.12784,0.99985754,261.90204,245.38129,0.9998116,302.11877,310.69586,0.9997278,268.3161,306.45004,0.99951994,303.92084,376.49457,0.9948843,278.8046,344.3581,0.9919883,1.0
284.34564,109.11716,0.9990023,290.93436,103.35103,0.9943057,278.3184,102.75284,0.9957165,299.0787,109.6535,0.83081627,268.02594,108.20166,0.9290141,312.2185,151.08757,0.99965084,250.75526,150.54333,0.9995117,315.69513,200.78015,0.99688715,243.97017,197.55667,0.9946802,291.11395,228.03897,0.9965252,264.89044,207.28027,0.9955753,302.77274,246.19962,0.9998598,262.15057,245.59714,0.99981683,302.41782,310.78223,0.9997292,268.4767,306.55417,0.99952877,303.95963,376.7552,0.9949008,278.63113,344.596,0.99210757,1.0
284.52396,108.99892,0.9989587,291.02112,103.22046,0.9937109,278.45193,102.60568,0.995815,299.0184,109.53859,0.8165002,268.01224,108.0824,0.9369437,312.5687,151.33743,0.9996518,250.60722,150.82391,0.99954444,315.6302,201.5688,0.996824,244.28494,198.15866,0.99507445,290.8261,227.35938,0.99641967,265.37146,207.42432,0.9957957,303.05368,245.92197,0.9998567,262.0807,245.3334,0.9998196,302.17493,310.20294,0.99971753,268.62134,306.12253,0.9995278,304.193,376.35922,0.9946449,278.64972,344.63757,0.99191695,1.0
284.47733,109.24835,0.99899,290.9215,103.33707,0.99375844,278.38654,102.776215,0.9958966,298.9226,109.07416,0.8109218,267.96542,107.73537,0.93622106,312.49164,150.863,0.99965596,250.6019,150.31354,0.99954224,315.81552,201.14195,0.9970656,244.4346,197.83803,0.9953708,291.81754,227.5037,0.9968328,265.29297,207.63783,0.9962288,303.23785,246.27959,0.99985933,262.3564,245.65993,0.9998203,302.11874,310.71924,0.9997154,268.56732,306.5339,0.9995153,303.88995,376.51117,0.99446636,278.5124,344.079,0.99154973,1.0
283.95428,109.3176,0.99903667,290.62405,103.503204,0.9944142,277.88385,102.80942,0.9959318,298.88058,109.662125,0.83033705,267.5115,107.994354,0.9331395,312.4912,151.228,0.9996606,250.51172,150.60547,0.9995328,315.9275,201.42975,0.996899,244.4158,197.88902,0.99483806,291.67606,227.81258,0.99654275,265.369,208.01654,0.995689,303.32574,246.40897,0.9998599,262.4064,245.7987,0.9998192,302.1374,310.80624,0.99971706,268.81152,307.07922,0.99951327,304.0832,376.38004,0.9945259,278.4971,344.01703,0.99158585,1.0
283.61636,109.07741,0.99901736,290.197,103.29202,0.99420124,277.5357,102.65469,0.99592066,298.35394,109.5556,0.8223257,267.1568,108.00969,0.9338483,312.19965,150.98907,0.9996532,250.28455,150.27435,0.9995183,315.93936,201.17084,0.9969336,244.2803,197.56413,0.9948369,291.52966,228.06416,0.99663097,265.24136,208.2566,0.9957675,303.20697,246.07817,0.99985766,262.31183,245.35396,0.9998149,302.18765,310.58707,0.9997166,268.7666,306.1848,0.99951077,304.0298,376.19232,0.9945416,278.4012,343.97592,0.99160963,1.0
283.24054,109.08969,0.9990312,289.86627,103.264725,0.9944469,277.15005,102.62578,0.9959418,298.1137,109.48154,0.82918954,266.807,107.9505,0.9329294,312.17264,151.012,0.9996517,250.21884,150.52783,0.9995029,316.09497,201.0245,0.996811,244.51276,197.82938,0.99440247,291.29944,228.02159,0.9964424,265.49155,208.50328,0.995366,303.35672,246.38728,0.9998548,262.44354,245.76523,0.9998093,302.01276,310.97562,0.99970645,268.63617,306.9531,0.99948895,304.14523,375.95755,0.99436766,278.39456,344.46786,0.99127835,1.0
282.86816,108.72818,0.9990513,289.42096,102.70636,0.9944853,276.57187,102.33649,0.9960496,297.80182,108.77333,0.82889557,266.18674,107.87915,0.93510216,312.22778,150.70082,0.99966264,250.09569,150.48172,0.999529,316.42432,200.3617,0.99688303,244.70947,197.53969,0.99472576,291.8084,227.39705,0.9965378,265.9917,208.17792,0.995631,303.41928,246.07336,0.9998596,262.4326,245.42958,0.9998179,302.07843,310.90616,0.9997149,268.62228,306.1632,0.9995129,303.95932,375.7567,0.9944641,278.55054,344.22736,0.99158716,1.0
