nose_x,nose_y,nose_v,left_eye_x,left_eye_y,left_eye_v,right_eye_x,right_eye_y,right_eye_v,left_ear_x,left_ear_y,left_ear_v,right_ear_x,right_ear_y,right_ear_v,left_shoulder_x,left_shoulder_y,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_v,left_elbow_x,left_elbow_y,left_elbow_v,right_elbow_x,right_elbow_y,right_elbow_v,left_wrist_x,left_wrist_y,left_wrist_v,right_wrist_x,right_wrist_y,right_wrist_v,left_hip_x,left_hip_y,left_hip_v,right_hip_x,right_hip_y,right_hip_v,left_knee_x,left_knee_y,left_knee_v,right_knee_x,right_knee_y,right_knee_v,left_ankle_x,left_ankle_y,left_ankle_v,right_ankle_x,right_ankle_y,right_ankle_v,class
287.7527,114.988075,0.9976267,293.28705,107.20471,0.9970983,282.81076,108.74692,0.9484292,308.14474,105.80734,0.9760113,280.1295,109.64139,0.19377865,328.3665,149.14357,0.99913436,275.97794,150.0242,0.99606115,332.94904,204.51318,0.99545634,269.73706,196.46396,0.96080273,299.9623,233.70155,0.99312216,274.0248,224.43886,0.9674718,321.45975,243.74721,0.999522,284.1721,243.6235,0.99895954,327.02267,307.96408,0.99869823,279.2359,305.4688,0.9967198,332.95963,366.33585,0.98267716,277.2221,360.64746,0.966968,0.0
279.36954,117.41391,0.99586993,284.89362,109.49274,0.9951565,275.1568,111.11209,0.92066896,301.62173,108.28955,0.9676147,275.545,112.04794,0.16521303,322.36353,148.72086,0.9985232,275.13275,150.19794,0.9945393,323.3672,204.4751,0.9935782,270.15314,197.48434,0.9553956,290.06415,236.05063,0.98972917,268.1002,226.44138,0.9602065,321.2362,242.89186,0.99930215,286.38574,243.02097,0.9986307,328.36102,308.0346,0.9985372,278.56796,306.20618,0.99668026,334.83295,366.5687,0.9852481,277.63635,361.33212,0.9737094,0.0
276.22867,118.2821,0.99807775,281.44086,110.39622,0.99810505,271.92456,112.47287,0.9055206,298.90213,108.20892,0.9887693,271.28177,113.34069,0.058253244,318.48404,150.93413,0.99923277,273.14566,151.94908,0.9974916,319.04663,206.14917,0.99777204,270.99908,196.84082,0.98886126,287.85663,236.15689,0.9978123,266.80072,228.39397,0.99370074,320.64105,244.25565,0.99974316,287.7636,244.13454,0.99952805,327.59802,309.36963,0.99912924,279.9714,305.34076,0.9982261,335.34253,366.3899,0.9845051,277.91107,360.00662,0.9766094,0.0
272.15552,120.58108,0.99767894,277.18576,112.54769,0.9978175,267.9152,114.62217,0.87890446,295.27072,109.25472,0.9891426,268.08356,114.33068,0.048407868,315.21997,152.726,0.9991954,272.35016,152.77205,0.9974445,314.0767,208.16833,0.9977145,272.2253,197.92577,0.9888754,282.97943,238.83395,0.997554,265.0451,229.7379,0.9933924,321.2352,244.77951,0.99972755,289.5285,244.39299,0.9995142,327.77313,308.2252,0.99906164,279.5964,304.6009,0.9981692,338.33032,365.60727,0.9841775,278.41293,360.0917,0.97686964,0.0
268.30783,122.97148,0.99671656,272.83035,114.68757,0.9972247,264.59308,116.644775,0.8245033,291.18524,110.72354,0.9893939,265.88547,115.31909,0.037952114,311.59967,152.91669,0.99869245,271.99246,151.078,0.9969505,308.86295,209.33904,0.9962452,272.58487,197.36035,0.9866986,278.96234,239.7691,0.9964289,262.11743,229.76175,0.99120367,322.60208,243.77502,0.9993825,291.25436,241.99574,0.99900097,327.52386,308.16418,0.9979436,279.36633,303.2457,0.9963205,341.26968,365.09818,0.9668015,278.23508,361.35016,0.95619947,0.0
258.7982,128.7561,0.9924367,263.46423,120.934784,0.99341255,256.47144,122.1319,0.7552052,282.13437,117.74907,0.9786332,262.1779,120.31674,0.04316455,301.8732,154.81845,0.9981504,272.48853,154.21295,0.99370897,294.584,212.26422,0.9958627,274.35608,202.16304,0.9728917,269.82303,242.80768,0.9941248,258.17352,231.16946,0.97974604,320.1422,243.39116,0.99950135,294.4205,242.66959,0.99904066,327.92416,307.27005,0.999223,278.74255,302.42493,0.99833566,348.70325,362.26663,0.9935812,277.78015,361.72778,0.98965794,0.0
255.04572,131.61438,0.98916453,259.53864,123.96532,0.99035734,252.8347,124.860535,0.6845296,278.3644,119.72623,0.97424966,259.6052,121.56032,0.036637273,297.9592,155.498,0.9975936,271.74115,153.47885,0.9930841,290.32074,213.88123,0.99481565,274.68262,202.67545,0.97315335,266.64368,242.34685,0.9924305,257.1158,229.32153,0.9789652,319.31393,243.16585,0.9994293,295.44238,241.9278,0.9989962,325.77917,307.5716,0.9991578,279.2308,302.18204,0.99838233,351.05667,362.3062,0.99362975,278.13144,361.94818,0.9905364,0.0
249.79779,137.21388,0.98973644,252.68753,128.76091,0.99374604,247.07657,131.14316,0.5595431,271.84073,120.79005,0.98844564,256.09436,126.153656,0.014728849,289.06696,158.05446,0.9978915,274.09183,153.33342,0.98741186,279.43146,215.95557,0.9950362,277.42157,202.11156,0.9361742,259.17084,235.15166,0.9920803,257.2342,221.40799,0.9560666,316.11945,245.43073,0.99916387,299.8024,242.61597,0.99797267,321.9949,309.83945,0.9976941,279.51773,300.66644,0.9943355,351.80414,361.20523,0.9751511,279.8598,360.8953,0.95816016,0.0
248.13057,139.51633,0.9860983,250.46684,131.45174,0.9920616,246.13507,133.34421,0.43952316,269.31473,123.267525,0.9903043,256.8828,127.6004,0.010160748,287.0115,158.76382,0.99787676,274.46628,153.50128,0.98857504,275.2668,214.55363,0.9942101,280.56656,201.29466,0.93428284,257.20676,230.07124,0.9897475,258.70093,215.5279,0.9491933,313.89694,244.9817,0.9995536,298.07037,242.1651,0.9989666,321.31122,309.17468,0.99936694,281.15848,300.38577,0.99853873,354.86572,360.34647,0.9949561,279.63327,361.46442,0.99174446,0.0
244.93207,141.8546,0.9857442,247.1784,133.87935,0.99253935,243.06,135.57916,0.43339464,266.0165,125.45368,0.99129677,254.79117,129.13652,0.010859947,283.47217,160.24283,0.998321,274.48123,153.07199,0.9851441,269.9898,217.60484,0.99521106,282.10815,201.80516,0.8874644,250.49858,226.6834,0.98969716,259.44803,214.01422,0.9077119,311.91986,245.06802,0.9995863,297.8424,241.33632,0.9987587,320.19785,309.68542,0.9994449,281.01974,300.21747,0.9983387,356.46564,360.4306,0.9955884,280.02063,361.56873,0.9911395,0.0
241.32823,144.16542,0.98710877,243.36426,136.05789,0.99390477,239.33582,137.88776,0.47682208,262.2409,127.134926,0.9918984,252.22408,130.81274,0.012754665,278.99448,161.65945,0.9984824,276.28522,151.48712,0.976747,264.4888,219.09944,0.99506867,283.03873,197.51955,0.76326066,245.5571,219.39902,0.98752373,257.8151,209.02525,0.79622185,310.47342,244.90598,0.99956053,300.1792,239.77394,0.99825853,318.16754,309.83783,0.99951184,280.7694,300.23248,0.9980274,358.1271,360.52325,0.9964412,279.37772,361.41705,0.9908448,0.0
239.15974,146.24121,0.9750285,240.71075,138.28973,0.9888783,237.76248,140.07253,0.36668402,259.24777,129.58511,0.98967594,252.86478,132.8872,0.013453508,276.47412,163.1897,0.9977356,279.3579,150.77084,0.9662247,262.54108,218.653,0.9899435,284.06244,192.55359,0.61377645,247.85413,212.9078,0.96795166,258.7828,202.83948,0.59226954,308.4717,245.70703,0.999432,301.69284,239.25429,0.997835,316.83014,310.5333,0.9994804,280.44476,299.41763,0.99800307,358.80215,360.95807,0.99711394,278.66998,360.3363,0.9927966,0.0
235.99493,148.30284,0.96299046,237.11798,140.23236,0.9857816,235.19487,142.11406,0.30119514,255.51082,131.66354,0.99053454,252.51823,134.8952,0.015033074,273.06216,164.9817,0.9977093,280.84375,151.40546,0.9514745,259.5996,220.01976,0.9861674,288.12347,189.37262,0.38919446,246.76044,204.43527,0.9399747,261.65176,196.51738,0.309694,309.0313,245.87291,0.9993067,304.86258,238.8175,0.99687815,314.8975,310.6357,0.9994086,279.742,299.08368,0.99725026,358.93625,361.92834,0.9971107,277.44568,360.04282,0.9916298,0.0
232.40308,153.23184,0.94787455,233.46375,145.48932,0.98000115,232.17583,147.13324,0.24973093,251.57855,136.7937,0.99483335,252.70245,139.13147,0.024952723,266.3051,168.47424,0.9978047,287.85663,152.01962,0.9831728,256.6397,218.7468,0.9747833,314.46744,185.56097,0.623193,250.60136,204.1832,0.87604046,291.44366,204.32933,0.4134315,307.54315,248.4408,0.99941814,309.95035,240.21696,0.99856865,313.37488,312.88086,0.9994093,277.63654,300.01804,0.9986374,359.33804,361.78143,0.9972499,277.80148,359.76105,0.99544626,0.0
231.72528,156.02977,0.93458104,232.68457,148.27095,0.9759025,231.59087,149.9087,0.22194335,250.48816,139.04285,0.9948008,252.66656,141.4965,0.02562914,264.57083,169.9336,0.9973174,288.36862,154.13455,0.98093927,254.37346,219.40979,0.96252894,313.37686,187.34053,0.5418462,251.18552,205.46175,0.8113965,287.65665,206.31157,0.30478448,307.48932,249.21083,0.99928373,311.63126,240.86073,0.9983216,310.6612,314.55887,0.99936527,277.0044,299.00275,0.99858344,358.45392,361.61075,0.9974541,277.93396,359.3348,0.99594134,0.0
230.55765,157.77917,0.9062593,231.48187,150.07199,0.96391976,230.79086,151.37517,0.18743806,248.62328,141.03493,0.99258935,252.36447,142.60608,0.02767147,262.8037,171.87498,0.996558,288.98642,155.52527,0.9714778,253.4788,220.44717,0.948771,311.77286,187.90051,0.3935147,249.81525,203.56822,0.74172187,285.79056,203.60477,0.18692218,306.66733,250.16988,0.9990767,312.90936,241.17625,0.9976459,308.07843,315.7981,0.9993273,277.19946,298.26184,0.9983417,357.7969,361.62128,0.997795,278.07812,358.53708,0.9961927,0.0
229.94293,160.78636,0.9094986,230.62427,152.97447,0.9623186,229.97903,154.53047,0.20070717,247.49976,143.26219,0.98949987,251.25502,145.48547,0.025547946,262.21442,173.28087,0.99612844,288.28574,157.04053,0.9613214,253.69733,222.24045,0.9536461,304.44482,186.95645,0.33974096,248.0966,206.5939,0.77929276,270.74777,197.82408,0.17488176,306.4225,250.73805,0.99895144,313.61377,241.37566,0.99700135,305.93542,316.86365,0.99930775,277.05664,297.38785,0.99800617,356.9552,361.69623,0.997776,277.9378,358.0788,0.99564147,0.0
229.15495,162.96745,0.9024253,229.6053,155.0446,0.95781314,228.85878,156.89148,0.19738637,246.19687,144.60681,0.9882881,249.68642,147.51189,0.02790615,261.38647,173.6729,0.99579453,286.95886,158.01703,0.96152925,254.80011,221.3121,0.9497428,306.4898,188.79547,0.34458107,246.70235,210.586,0.76667506,275.67746,204.6329,0.17766151,307.01743,251.21361,0.99888116,313.9479,242.02171,0.99693716,304.44855,318.02356,0.9992513,276.3365,297.26346,0.9979482,356.03647,361.83197,0.99766636,278.60254,358.01044,0.9956447,0.0
228.53732,165.08292,0.8882526,229.0698,157.30911,0.9464404,228.19836,158.82631,0.2033884,244.82095,146.956,0.98359966,248.37155,148.91579,0.033530675,259.79834,175.56126,0.99470574,286.36823,158.32353,0.9568838,254.89444,221.655,0.936561,305.79593,187.56866,0.32260585,246.84064,210.51884,0.7230386,275.20593,203.36523,0.1614759,306.83456,252.92406,0.9986547,314.65863,242.74731,0.99653673,303.3347,319.71558,0.99915147,275.34558,296.27625,0.99782145,355.19785,362.34973,0.9975948,278.36935,358.19623,0.9957398,0.0
228.49588,166.76634,0.8695148,228.76666,159.17789,0.9368059,228.17041,160.77798,0.18941967,243.95633,148.98401,0.983344,248.35608,151.18893,0.03824662,260.5896,176.49301,0.9941889,285.21164,160.02286,0.95997465,254.5389,220.94643,0.9217865,307.45328,190.31735,0.32868543,247.45688,211.50137,0.66175395,282.527,210.46135,0.15107813,308.0947,253.75073,0.9985713,314.2201,243.99867,0.9966654,303.1106,320.18634,0.9990513,274.86444,297.1903,0.9978223,354.88403,362.0821,0.99737835,278.68518,358.42236,0.9957569,0.0
