nose_x,nose_y,nose_v,left_eye_x,left_eye_y,left_eye_v,right_eye_x,right_eye_y,right_eye_v,left_ear_x,left_ear_y,left_ear_v,right_ear_x,right_ear_y,right_ear_v,left_shoulder_x,left_shoulder_y,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_v,left_elbow_x,left_elbow_y,left_elbow_v,right_elbow_x,right_elbow_y,right_elbow_v,left_wrist_x,left_wrist_y,left_wrist_v,right_wrist_x,right_wrist_y,right_wrist_v,left_hip_x,left_hip_y,left_hip_v,right_hip_x,right_hip_y,right_hip_v,left_knee_x,left_knee_y,left_knee_v,right_knee_x,right_knee_y,right_knee_v,left_ankle_x,left_ankle_y,left_ankle_v,right_ankle_x,right_ankle_y,right_ankle_v,class
300.63968,164.78604,0.9989347,306.76807,157.93161,0.99703074,294.76135,159.1224,0.9897926,318.19556,160.89566,0.9340494,288.26038,163.70877,0.6752596,336.53397,200.93823,0.99934393,284.27634,201.007,0.9986492,336.87485,255.12497,0.9957569,284.0417,246.36923,0.9864797,293.109,272.10287,0.9952743,279.91156,286.03726,0.9895892,335.4122,295.451,0.9996666,299.496,296.00998,0.9995234,346.48862,360.01245,0.99914646,303.30408,360.60645,0.9986785,349.3681,411.16315,0.9862941,318.44083,416.82544,0.98037636,2.0
300.2986,164.7439,0.998987,306.6028,157.8974,0.99732935,294.48422,158.9508,0.98963004,318.34412,160.91856,0.9406662,288.11334,163.38214,0.6588099,336.44812,200.65134,0.9993974,284.9325,200.6019,0.9985837,335.67752,254.56084,0.99618715,284.59558,245.74873,0.98504525,290.64886,269.91205,0.9956731,280.9488,284.90787,0.9887496,335.48062,294.74545,0.99968886,299.99738,295.27774,0.999524,346.3846,358.8803,0.9992625,303.15228,360.07907,0.9987639,348.85825,412.04272,0.9882897,319.02658,416.3993,0.98217815,2.0
300.40536,165.0127,0.99898213,306.59412,158.07607,0.9970726,294.41107,159.25679,0.9902801,318.23682,160.83673,0.9331508,287.85138,163.63791,0.6945322,336.3608,200.5458,0.9993913,284.71777,201.11194,0.9987827,334.02277,253.86664,0.99600595,285.1507,247.24998,0.98755425,289.75424,269.1387,0.9954117,281.22107,286.31464,0.99020994,335.81055,294.986,0.9996866,300.10123,295.9169,0.9995617,346.0466,357.89142,0.9992323,302.97574,360.647,0.99882644,348.39096,412.0058,0.9877451,318.8076,416.60577,0.9823936,2.0
300.25256,165.42784,0.99893516,306.39688,158.51117,0.9972288,294.42773,159.69626,0.9885993,318.2287,161.08542,0.9424052,288.2876,163.9181,0.6382264,336.07486,200.42967,0.9993837,285.55115,201.22961,0.9986212,334.34207,253.36319,0.9960873,286.65308,248.12451,0.98572046,291.16693,266.81616,0.9954203,281.45007,286.71252,0.9886165,335.6005,294.61057,0.9996791,300.5654,295.45917,0.99952257,345.62567,357.7567,0.9992372,302.7244,359.9914,0.9987495,347.9552,412.73712,0.98786956,318.66727,415.9101,0.98187155,2.0
299.72797,166.51477,0.9989435,305.7426,159.52608,0.99730897,293.95447,160.88602,0.987576,317.5259,161.82683,0.9437735,288.02945,165.18771,0.5918564,334.98376,200.38786,0.9993741,286.09384,202.83533,0.99845135,333.01947,252.72818,0.996642,287.79956,250.7341,0.98556834,289.64703,263.91022,0.99637187,282.23926,288.42062,0.98943114,335.8954,294.6672,0.99967694,301.79193,295.9685,0.9994881,344.3887,358.86948,0.9992538,301.85434,360.0074,0.99867886,347.85654,412.89944,0.98774546,318.66367,416.21936,0.9808717,2.0
299.09818,167.06445,0.9989213,305.16583,160.12856,0.99745136,293.50787,161.32304,0.98661256,317.02985,162.4707,0.9483904,287.90503,165.49677,0.5664294,334.75803,200.39706,0.9993999,287.32642,203.65161,0.9981439,331.4993,252.8048,0.9968726,290.0119,252.41754,0.98103744,288.18744,262.58636,0.9964223,282.6963,287.78052,0.986088,336.39264,294.70688,0.9996692,303.00604,296.12842,0.9994104,344.07352,358.50107,0.99928683,301.32495,359.80664,0.99855477,347.54575,413.51004,0.98850787,318.72278,416.09674,0.98019904,2.0
298.5651,167.95453,0.9990221,304.73633,160.94748,0.99783784,292.96658,161.97784,0.98700875,316.86258,162.83392,0.95467716,287.42017,165.5172,0.5413167,334.33316,200.39955,0.99938285,287.45963,203.48279,0.9980147,330.412,252.61923,0.996682,290.64935,252.58772,0.9787275,288.13483,261.8076,0.9961815,283.18835,288.603,0.98438454,336.3105,294.48032,0.9996474,303.15903,295.98376,0.9993623,343.86948,357.19586,0.99926287,300.55478,359.64795,0.9984779,348.06772,413.10107,0.98850864,318.43683,415.52817,0.97988117,2.0
298.05984,168.43806,0.99893826,304.24335,161.27728,0.9977915,292.3965,162.27411,0.9856123,316.3851,162.72937,0.9545755,286.97116,165.42111,0.5111021,333.39645,199.97061,0.99931884,288.92883,203.66647,0.9973459,328.8303,252.35252,0.9962968,293.97214,254.63867,0.9688376,287.58304,261.78918,0.995533,283.78802,290.03598,0.9768976,335.19962,294.18314,0.9995932,303.38202,295.6217,0.9991861,343.26248,357.321,0.9992379,301.4399,359.06577,0.9982736,348.09674,412.8155,0.9889458,318.19226,415.645,0.9793657,2.0
297.68335,168.95389,0.9990212,303.73907,161.59909,0.998049,291.86478,162.81177,0.9856391,316.25024,162.31668,0.9597627,286.69223,165.5733,0.48226917,333.198,199.78177,0.99930286,289.55548,203.4986,0.99738115,327.7326,251.76588,0.99612194,294.32477,254.6542,0.969453,287.72253,262.30725,0.9953768,283.84427,290.4626,0.97746426,334.49182,295.00043,0.9995752,303.15543,296.36276,0.9991702,343.37207,358.231,0.9991823,301.958,359.50946,0.9982173,347.75262,412.9839,0.9880789,318.38837,415.8295,0.9785917,2.0
296.4794,169.11957,0.99878293,302.50742,161.86322,0.99809116,290.9541,162.95927,0.98103565,315.14218,162.56241,0.9667897,286.1975,165.52313,0.41886684,332.01306,199.52097,0.99929464,288.7707,203.58745,0.99539846,326.71683,251.42636,0.9955896,294.71295,254.99103,0.9233759,287.8102,260.69885,0.9934448,284.10226,288.91913,0.9375812,333.9827,294.80698,0.9995259,302.84235,296.306,0.9987627,342.1968,359.26636,0.9991811,301.96588,359.984,0.9975642,347.8447,413.8836,0.989298,317.94232,416.33542,0.9759586,2.0
