nose_x,nose_y,nose_v,left_eye_x,left_eye_y,left_eye_v,right_eye_x,right_eye_y,right_eye_v,left_ear_x,left_ear_y,left_ear_v,right_ear_x,right_ear_y,right_ear_v,left_shoulder_x,left_shoulder_y,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_v,left_elbow_x,left_elbow_y,left_elbow_v,right_elbow_x,right_elbow_y,right_elbow_v,left_wrist_x,left_wrist_y,left_wrist_v,right_wrist_x,right_wrist_y,right_wrist_v,left_hip_x,left_hip_y,left_hip_v,right_hip_x,right_hip_y,right_hip_v,left_knee_x,left_knee_y,left_knee_v,right_knee_x,right_knee_y,right_knee_v,left_ankle_x,left_ankle_y,left_ankle_v,right_ankle_x,right_ankle_y,right_ankle_v,class
299.31656,170.03375,0.9987198,304.592,162.91476,0.995749,293.1832,164.11804,0.99027413,314.0444,162.77042,0.88711226,286.1753,165.9936,0.71050876,329.72562,199.07956,0.99919266,285.3744,200.27057,0.9976375,338.57794,250.60641,0.99564016,287.28027,246.56015,0.97587377,296.93686,262.78723,0.99535614,281.5933,283.704,0.98154837,326.2496,292.5347,0.9996697,295.40356,291.9797,0.9994004,335.4876,359.5145,0.9995359,294.26138,354.59064,0.9989759,349.28464,424.24445,0.994239,308.25595,407.80164,0.9894462,3.0
297.93744,169.61053,0.9986808,303.32532,162.45789,0.9960621,291.75732,163.6943,0.9895863,313.03995,162.50746,0.8986356,284.7269,165.73969,0.68931717,328.5808,199.1682,0.9991911,283.87686,200.05101,0.99719906,337.29373,250.48479,0.9953425,285.71323,246.28102,0.96684283,295.60934,263.50598,0.99457633,280.3458,284.75378,0.97360545,325.74728,292.9315,0.9996574,294.73022,292.45218,0.9993248,334.56357,359.50327,0.9995204,294.0613,355.2036,0.99884427,349.16052,424.37927,0.9942304,308.4791,408.02155,0.98870075,3.0
296.51727,169.46762,0.99869967,301.86102,162.32375,0.9959527,290.44492,163.43498,0.98982316,311.38342,162.27838,0.8958879,283.45367,165.27066,0.69322526,327.21454,198.55396,0.99916756,282.72296,199.97945,0.9974089,336.8387,249.726,0.9951782,285.17496,247.02455,0.9708043,295.7006,263.2814,0.99451774,279.38846,285.87244,0.97664726,324.72537,291.5095,0.9996438,293.80667,291.1648,0.99933654,335.17377,357.81677,0.99952936,293.89514,353.05182,0.9989415,348.63687,423.90137,0.9944753,308.16214,407.71317,0.98976153,3.0
294.7699,169.302,0.9988153,300.08905,162.26468,0.9966061,288.9018,163.40268,0.98931164,309.82608,162.39001,0.9172883,282.3573,165.45631,0.6466202,325.99936,198.11508,0.99917006,281.52567,199.69159,0.9975694,335.84518,249.2379,0.9951385,284.6121,245.89528,0.9730762,294.74905,263.11298,0.9944681,278.5822,282.8999,0.97849566,323.91464,289.7767,0.9996296,293.01096,289.6079,0.9993364,333.96368,356.00378,0.9994978,293.53287,351.23724,0.99892694,348.395,422.81927,0.9939194,308.12714,407.80844,0.9892652,3.0
293.4109,169.62677,0.99771947,298.8412,162.27318,0.9949928,287.81506,163.22818,0.9820011,309.21936,162.497,0.91817236,281.83133,165.17831,0.6005036,325.96625,198.09084,0.9987446,281.67386,200.80319,0.9964271,335.71957,248.1436,0.9924924,284.8005,247.94577,0.95730454,295.3517,262.15176,0.98818994,277.36493,283.43356,0.9520911,324.11026,289.5766,0.9992588,292.7858,289.52255,0.99868697,333.49628,355.5249,0.9989749,293.6712,350.78363,0.9978483,347.24393,420.82086,0.990547,307.89542,408.85718,0.9837731,3.0
292.4865,169.07489,0.99730694,297.94113,161.73108,0.9941935,286.9111,162.74236,0.9794582,308.61206,162.07481,0.9109206,281.18985,164.85854,0.58374983,325.44592,197.88293,0.9985292,281.57132,200.63754,0.995836,334.87546,248.07336,0.99146605,284.17532,247.02562,0.9519554,294.4146,261.49835,0.9865421,275.87958,282.79193,0.94594413,323.68396,289.07672,0.9991302,292.7121,289.01877,0.9984648,332.93552,355.04352,0.99882036,294.51898,349.9204,0.99754757,346.44092,420.05673,0.9896881,307.82434,408.7326,0.98246044,3.0
290.60187,167.48697,0.99848217,296.03015,160.61986,0.9957575,284.9126,161.59717,0.98476493,306.634,160.62477,0.9310558,279.30655,163.44312,0.60219854,324.69727,197.10117,0.99906415,281.01166,198.63905,0.9987185,333.63574,249.26172,0.9946051,282.75208,244.11542,0.99058783,293.27756,261.1256,0.99530846,274.38248,281.25092,0.99196154,323.6795,287.52826,0.99941254,293.59814,286.38336,0.9992773,333.34415,354.43848,0.9984798,295.26263,350.82416,0.99790084,343.37726,417.54688,0.9745001,307.24802,407.45932,0.96847737,3.0
289.81085,167.18422,0.9982712,295.37366,160.18802,0.99563867,284.19406,161.29495,0.9819317,306.45386,160.41397,0.9201213,278.7103,163.29262,0.52060217,324.0703,196.14374,0.9989704,279.55527,198.31755,0.9969246,334.051,247.3036,0.99477494,281.23996,244.34238,0.971274,292.43088,261.32837,0.9942458,273.29675,281.4573,0.97863597,324.24728,287.83276,0.99950707,293.74045,287.9992,0.9991242,331.6985,354.24823,0.999156,295.6021,350.03406,0.9982817,342.32962,414.94604,0.98929673,307.82983,406.45526,0.9819857,3.0
288.79944,166.66707,0.99835616,294.60928,159.64758,0.9962973,283.2908,160.66837,0.9805356,306.3621,160.10165,0.93370414,278.1934,162.76266,0.464697,323.48267,196.24756,0.9990054,279.53198,198.52892,0.99645185,333.1592,246.86029,0.9950512,281.1369,245.49776,0.9652927,291.7467,260.80197,0.9944021,272.41348,283.362,0.974501,322.66238,287.48065,0.9994881,292.38266,287.76022,0.9989998,331.94284,352.68146,0.9991683,294.79642,349.74237,0.998135,341.49014,415.61566,0.98970747,307.72372,406.20865,0.9813704,3.0
288.02347,166.4013,0.9984162,293.9184,159.4079,0.9967168,282.62662,160.48157,0.97902507,306.05298,160.10092,0.94310844,277.87842,162.84734,0.4137172,322.74203,196.13954,0.9989832,279.34232,198.3279,0.9962251,332.18204,246.61911,0.9950826,281.1071,245.14609,0.9635649,290.917,261.2767,0.99450773,272.64276,282.2485,0.97400516,322.07733,287.08167,0.9994886,292.06274,287.32498,0.9989801,331.81058,352.93036,0.9991849,293.9848,349.44345,0.9981408,341.28656,415.64294,0.98988885,307.47678,406.22754,0.98164374,3.0
