nose_x,nose_y,nose_v,left_eye_x,left_eye_y,left_eye_v,right_eye_x,right_eye_y,right_eye_v,left_ear_x,left_ear_y,left_ear_v,right_ear_x,right_ear_y,right_ear_v,left_shoulder_x,left_shoulder_y,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_v,left_elbow_x,left_elbow_y,left_elbow_v,right_elbow_x,right_elbow_y,right_elbow_v,left_wrist_x,left_wrist_y,left_wrist_v,right_wrist_x,right_wrist_y,right_wrist_v,left_hip_x,left_hip_y,left_hip_v,right_hip_x,right_hip_y,right_hip_v,left_knee_x,left_knee_y,left_knee_v,right_knee_x,right_knee_y,right_knee_v,left_ankle_x,left_ankle_y,left_ankle_v,right_ankle_x,right_ankle_y,right_ankle_v,class
352.81818,175.1344,0.99031466,354.42468,168.97305,0.69867665,345.4508,170.0646,0.9944682,353.01788,171.13506,0.038248576,328.52267,174.87834,0.99334407,348.96786,205.37854,0.99791294,316.12054,211.0058,0.99919087,347.32507,244.21974,0.9897711,319.66306,264.82455,0.99801457,352.2205,276.84384,0.9932734,344.07678,302.5371,0.9983829,332.013,284.92343,0.99932957,308.60825,291.05988,0.9994943,346.91125,331.55487,0.9993913,315.97583,357.141,0.9995552,330.82742,383.78073,0.9957866,313.36716,422.77496,0.9950224,8.0
355.32596,177.10962,0.98879284,357.2423,170.89383,0.66394114,348.3919,171.8023,0.99360895,355.49777,172.51193,0.03757796,331.66138,175.80118,0.9926333,349.40384,206.13118,0.9974859,318.7003,212.29321,0.99917185,345.46375,244.51077,0.9872384,323.5361,266.39807,0.99801457,352.02695,276.61172,0.99182445,347.2229,304.2617,0.9982692,330.51102,283.51956,0.9993075,308.20465,289.25577,0.9995134,345.55902,334.0082,0.9994205,316.25034,355.58356,0.9996069,331.69064,384.60468,0.9961733,313.9675,421.9253,0.99583745,8.0
358.4543,178.67023,0.9897635,360.46198,172.38582,0.6814911,351.6464,173.45563,0.9939619,358.4975,173.66568,0.04148465,335.0125,177.17398,0.9928652,350.5731,207.32263,0.9977208,321.0138,212.67722,0.99928194,344.49512,246.49095,0.9879475,326.0487,266.25806,0.9982054,350.64563,278.98438,0.9920964,348.38562,303.38107,0.9983948,330.02832,283.32138,0.9993954,308.20374,288.97,0.9995796,345.75812,333.46207,0.99949276,316.4558,355.8962,0.9996612,331.662,383.8912,0.99655056,314.22507,421.9328,0.99625826,8.0
361.17804,181.00916,0.9880801,363.38275,174.74893,0.64495385,354.74854,175.50673,0.99362856,360.68417,175.64589,0.036128517,337.80093,178.40509,0.9929242,350.7633,208.46732,0.9968953,322.75757,213.94351,0.99906224,343.25168,248.65962,0.98180294,328.14386,266.99445,0.99738973,350.4082,280.50482,0.98794484,349.80536,304.53726,0.99754,329.0653,282.93863,0.999186,308.00616,288.5901,0.99944204,345.10355,333.29825,0.9994542,316.10742,354.56732,0.9996388,332.23312,384.11667,0.9969078,314.11395,421.47247,0.9966691,8.0
363.53897,183.21588,0.9860955,365.8388,177.12375,0.60105217,357.43213,177.48761,0.99279284,362.54294,178.03568,0.031415503,340.4328,179.83194,0.9923224,350.71786,209.88138,0.9959611,324.98074,214.10867,0.99889565,342.67203,250.5942,0.9760188,330.46173,268.00894,0.99702686,348.75998,281.83618,0.98450655,351.20404,307.71405,0.9971546,326.5448,282.03677,0.9989504,306.6704,287.42484,0.9993111,345.05832,330.84683,0.9994103,315.86618,353.666,0.9996331,332.0827,383.55487,0.99711514,314.3924,421.8963,0.9969824,8.0
366.12784,185.97641,0.9817021,368.30048,179.83316,0.5170938,360.3198,180.20593,0.9919556,363.9778,180.01831,0.025273154,342.86267,181.91768,0.99295664,352.0881,210.58249,0.99361646,326.59912,215.50922,0.99890304,342.8098,251.93011,0.9525533,331.50214,269.69955,0.99686724,347.3105,281.80682,0.96815956,350.76276,309.26724,0.9964187,326.3821,281.20987,0.9985598,306.5821,286.6422,0.9992706,343.95697,331.32898,0.99926394,315.76697,353.41327,0.99965274,332.25644,383.69574,0.9969355,314.34924,421.5176,0.99740237,8.0
367.68967,188.44095,0.98621947,370.31665,181.97331,0.5765899,361.83118,182.55435,0.9915154,366.67072,181.48271,0.02943565,344.54886,183.73721,0.9888705,351.1262,210.99088,0.994311,329.41882,215.99365,0.99875736,342.73386,253.15121,0.9673834,332.5309,271.73483,0.9972614,346.027,284.09415,0.9824008,349.2543,311.47153,0.9977817,322.39127,279.30896,0.9981287,305.29004,284.9357,0.99895155,341.44708,328.84576,0.99920255,316.4726,352.34485,0.99958116,332.13,384.4818,0.9967091,314.69058,420.48865,0.99691015,8.0
369.91333,191.02579,0.98317784,372.72153,184.69974,0.5292644,364.16217,184.94797,0.99150366,368.75543,184.32242,0.026143735,346.59988,185.87798,0.98988897,351.79193,212.62692,0.9880257,330.2936,217.57326,0.99874806,341.13385,255.6674,0.89288944,332.7605,273.41617,0.99659425,344.44775,285.08716,0.93560874,348.2754,312.8517,0.9962953,321.89005,279.60895,0.9965463,304.76965,285.25833,0.99874204,340.6876,329.7883,0.9987631,315.96814,352.9281,0.9995943,332.42593,384.32376,0.99615663,314.44467,420.77155,0.9974722,8.0
371.07877,194.93103,0.9868685,374.6101,188.55527,0.6017942,365.38358,188.10526,0.9943532,371.47498,187.70358,0.03226611,348.1232,187.5932,0.9928133,353.75766,215.36389,0.981296,332.50385,219.3359,0.9990314,339.66074,259.16693,0.74080753,331.38235,275.09106,0.99639624,343.3218,292.09167,0.82524246,346.1543,314.41394,0.9950251,319.6895,281.07248,0.9935521,302.69882,285.79932,0.99844474,339.06216,331.52585,0.9978619,317.25784,353.04224,0.9995591,331.4052,385.0826,0.99456376,313.28143,421.81412,0.9975108,8.0
374.63824,201.0503,0.98350453,378.4824,194.5049,0.541892,369.2089,194.15634,0.9947318,374.21948,192.54196,0.029511511,351.7334,192.7167,0.9941005,351.4338,217.8846,0.9394339,336.08188,223.64749,0.99917585,336.26254,266.16068,0.23981364,334.0161,281.91058,0.99550927,340.4938,309.27795,0.29919648,343.82477,319.20474,0.9892502,315.0789,281.51578,0.98257476,301.94757,287.06516,0.9980883,337.0822,331.26782,0.99563736,317.35013,353.32687,0.9996308,331.42664,384.3212,0.99320626,312.53574,422.2323,0.99840814,8.0
