nose_x,nose_y,nose_v,left_eye_x,left_eye_y,left_eye_v,right_eye_x,right_eye_y,right_eye_v,left_ear_x,left_ear_y,left_ear_v,right_ear_x,right_ear_y,right_ear_v,left_shoulder_x,left_shoulder_y,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_v,left_elbow_x,left_elbow_y,left_elbow_v,right_elbow_x,right_elbow_y,right_elbow_v,left_wrist_x,left_wrist_y,left_wrist_v,right_wrist_x,right_wrist_y,right_wrist_v,left_hip_x,left_hip_y,left_hip_v,right_hip_x,right_hip_y,right_hip_v,left_knee_x,left_knee_y,left_knee_v,right_knee_x,right_knee_y,right_knee_v,left_ankle_x,left_ankle_y,left_ankle_v,right_ankle_x,right_ankle_y,right_ankle_v,class
332.65488,168.66913,0.99863964,337.39172,161.89758,0.98268455,326.13818,162.96735,0.9977131,342.9486,162.01474,0.4640614,314.64386,164.25128,0.9798463,350.4969,200.03094,0.9993135,296.14407,201.53473,0.99968886,352.95657,241.72702,0.99347055,283.5868,250.3003,0.99790996,361.38345,276.43726,0.9935296,280.11566,295.92047,0.99749964,343.18552,294.28046,0.9998301,307.61508,295.73746,0.9998777,345.3642,357.97998,0.9996755,303.37036,360.75806,0.9997185,336.70468,413.2614,0.99550915,298.35223,419.33527,0.99529594,4.0
334.31815,168.94305,0.9986467,339.04214,162.28244,0.9827382,327.81735,163.2597,0.99770457,344.50757,163.0667,0.4593291,316.2995,165.07039,0.97946024,351.33545,201.04803,0.9992908,297.77655,202.4313,0.99967587,353.1184,241.6088,0.99351853,285.8584,250.94318,0.9979153,361.65625,276.29208,0.993751,283.1747,296.93643,0.99757916,344.27655,294.8813,0.99983096,308.9805,296.37222,0.9998772,347.23328,357.54224,0.9996822,304.34293,361.10864,0.99972326,336.9783,413.46228,0.99564904,297.72076,419.5963,0.9954158,4.0
335.69214,169.87016,0.99857247,340.38513,162.89633,0.98192376,329.0818,164.17673,0.99760723,345.7766,162.42563,0.45341042,317.4245,165.07413,0.9786169,352.2878,200.80453,0.99913424,298.86877,202.53441,0.9996581,353.7682,242.20248,0.99117625,287.65637,251.57219,0.9977034,362.33112,277.60425,0.99155277,285.14227,297.75595,0.99723357,345.69193,294.77176,0.9997969,310.53674,296.31375,0.99986446,347.5105,358.0024,0.9996414,306.00684,360.9007,0.99971646,337.01706,412.91934,0.9954692,297.01068,419.22974,0.9955937,4.0
336.88742,169.99973,0.9984933,341.72675,163.12228,0.9803643,330.28598,164.13507,0.99754095,347.12555,163.09393,0.42406818,318.5035,165.09903,0.978522,352.99286,201.00804,0.9990528,300.33768,202.71048,0.9996314,354.01068,242.10297,0.99100167,289.0334,252.40732,0.9977291,362.06555,277.0715,0.9918333,287.66394,298.58334,0.99738914,346.55127,294.9281,0.9997863,311.72995,296.40765,0.9998578,349.2687,358.10815,0.9996265,307.7394,361.2848,0.99970657,337.3564,413.29846,0.99533796,296.5742,418.65833,0.99548763,4.0
339.68045,170.38739,0.9981254,344.3724,163.5358,0.97687244,333.2214,164.44965,0.9969452,349.12717,163.536,0.4157901,321.17957,165.4689,0.97298187,354.03348,199.59096,0.9987754,303.7164,201.82605,0.99951136,353.94934,242.26434,0.98800313,291.19342,253.13918,0.9969907,361.54083,278.4108,0.98807263,292.09988,299.19385,0.99628913,347.9205,292.87604,0.99969614,314.5355,294.733,0.9997992,351.32916,358.01663,0.99950624,309.72104,361.6891,0.99960536,337.99323,413.55142,0.9942367,296.9483,419.2268,0.99431145,4.0
341.35904,170.5387,0.99640805,345.89032,163.77014,0.96727854,334.71313,164.7363,0.9949091,350.1021,164.15213,0.40128794,322.29843,166.37076,0.9610539,354.48734,199.97177,0.99662197,307.285,202.7077,0.9990037,353.84476,243.6144,0.95965564,292.30798,253.13786,0.99329656,362.28812,279.97144,0.9520725,293.416,298.93274,0.9891816,348.11124,293.3515,0.99894124,316.81476,295.54047,0.9994254,350.42957,356.9859,0.9984456,310.98584,363.71973,0.9990055,337.74786,415.03766,0.9881853,298.1285,420.10794,0.9901329,4.0
341.8854,169.87378,0.99759513,346.67105,162.96072,0.971093,335.22275,163.81761,0.99674654,351.36664,163.62495,0.3667566,323.2938,165.21156,0.9754268,355.10574,200.7419,0.9969903,305.71378,201.39496,0.99953246,354.6399,243.38092,0.9604576,293.51944,251.58276,0.9972549,361.51636,279.54446,0.96430856,293.59042,298.63742,0.99603504,349.63052,293.62653,0.99944955,316.78336,295.23816,0.9997818,350.9753,357.02457,0.9992737,311.47717,363.66312,0.9996774,337.76413,413.0885,0.9938619,299.13632,420.97754,0.99609417,4.0
342.95435,168.99538,0.99809486,347.57358,162.19919,0.97422385,336.41867,163.16023,0.99742436,352.3528,162.8859,0.3712403,324.5188,164.74309,0.9789171,355.7683,201.29236,0.9978033,306.3194,201.5773,0.9996025,353.842,244.29597,0.9643182,293.96655,252.36154,0.9971533,361.24963,279.40024,0.96541536,295.01108,298.2882,0.99588925,350.12637,294.83075,0.9995617,317.21313,296.80447,0.9998173,353.235,357.8217,0.9993326,312.11246,365.53525,0.99968207,338.31506,413.8156,0.9936074,298.65515,423.82928,0.9955656,4.0
343.35153,168.66785,0.9975146,348.175,161.83292,0.9698546,336.78992,162.5849,0.9972928,353.25067,162.5934,0.36880824,325.18015,163.99014,0.979075,356.33734,201.35336,0.99295205,307.17294,201.10692,0.9996203,353.7392,244.6101,0.78083783,294.18762,251.9477,0.99635077,361.64557,281.16815,0.7701173,295.644,298.29025,0.99195486,350.29373,295.08405,0.9988691,317.6004,296.98694,0.9997707,353.45093,358.39734,0.9986332,312.51804,366.71225,0.99970824,338.19443,413.3406,0.9917282,299.40015,425.7563,0.99688053,4.0
344.5429,167.79834,0.99756086,349.3318,160.95055,0.970101,337.90646,161.78374,0.997396,354.461,161.9921,0.3678106,326.34586,163.56706,0.97978216,357.25247,201.45297,0.99223,308.1993,200.74564,0.9996464,353.73306,245.0173,0.75114965,294.4448,251.6362,0.99666214,361.6841,280.95508,0.7413623,296.38367,297.99377,0.9924975,350.40533,295.218,0.9986834,317.68832,297.43405,0.99975723,353.948,358.04327,0.9983525,312.1749,368.94717,0.99969006,337.777,413.0039,0.99024934,299.50653,431.6646,0.99657613,4.0
