nose_x,nose_y,nose_v,left_eye_x,left_eye_y,left_eye_v,right_eye_x,right_eye_y,right_eye_v,left_ear_x,left_ear_y,left_ear_v,right_ear_x,right_ear_y,right_ear_v,left_shoulder_x,left_shoulder_y,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_v,left_elbow_x,left_elbow_y,left_elbow_v,right_elbow_x,right_elbow_y,right_elbow_v,left_wrist_x,left_wrist_y,left_wrist_v,right_wrist_x,right_wrist_y,right_wrist_v,left_hip_x,left_hip_y,left_hip_v,right_hip_x,right_hip_y,right_hip_v,left_knee_x,left_knee_y,left_knee_v,right_knee_x,right_knee_y,right_knee_v,left_ankle_x,left_ankle_y,left_ankle_v,right_ankle_x,right_ankle_y,right_ankle_v,class
345.22977,176.91312,0.9818278,348.6866,169.9808,0.7168005,339.30933,170.37437,0.993867,345.2556,169.0679,0.048660908,321.317,169.90979,0.9877796,337.2361,203.99155,0.9214334,303.0199,205.41953,0.99788374,328.14435,254.08995,0.25908336,290.8013,260.726,0.9880546,331.0318,299.95715,0.2501961,305.26172,306.65036,0.9692236,335.55048,295.6529,0.990191,309.92868,298.4708,0.9986619,351.08588,356.0816,0.99231964,300.65646,364.0938,0.99891293,353.12274,418.9162,0.9820502,290.16846,421.87518,0.9947432,5.0
346.83374,176.77563,0.98163176,350.52432,169.88281,0.7150388,340.97195,170.04385,0.9937198,347.1384,169.00754,0.048985317,322.79507,169.25061,0.98753977,338.24286,204.163,0.920083,304.06564,204.84656,0.9978866,328.22723,254.74118,0.2571863,293.0078,260.44907,0.98832536,331.28162,300.4929,0.25096276,308.81802,306.18234,0.97018,335.7229,296.05496,0.99005836,310.04468,298.5235,0.99865496,350.35654,357.1668,0.9920292,300.6744,364.36237,0.9988889,352.6674,418.5901,0.9812034,289.89444,421.878,0.99458367,5.0
347.76205,176.58054,0.9825501,351.60736,169.71507,0.7263036,341.92822,169.76602,0.9938259,348.47754,168.89725,0.051570583,323.8599,168.8482,0.9873218,339.4126,204.26012,0.92489314,304.95935,204.43665,0.9979672,329.11694,254.86287,0.27236107,294.48404,260.063,0.98885685,332.4504,299.90628,0.26745313,310.43683,306.12964,0.97178763,335.1441,296.09564,0.99050844,309.22174,298.32358,0.99869186,350.1721,357.17822,0.9922416,301.06662,364.35077,0.99890554,352.3939,418.5315,0.98127204,289.53204,421.7056,0.9945582,5.0
348.6689,176.50787,0.9820815,352.3897,169.61882,0.7117966,342.87393,169.66922,0.99389523,348.92194,168.72299,0.04753532,324.64514,168.67346,0.98811674,339.86285,204.22626,0.9254932,305.81012,204.18596,0.99796474,329.7196,255.00883,0.28179932,295.82455,259.99146,0.9892799,334.0061,299.4692,0.28116435,312.6628,305.84842,0.9733132,335.1495,295.69366,0.9904322,309.43375,297.756,0.9986645,350.02942,357.0828,0.99219644,300.4314,363.80478,0.99888474,352.23453,418.16602,0.98111695,289.6656,421.4997,0.9944508,5.0
349.62067,176.31244,0.98165727,353.36005,169.52417,0.70511264,343.92282,169.42145,0.99384826,349.82492,168.80037,0.046608537,325.8315,168.37546,0.9882578,340.497,204.27057,0.92130303,306.8721,203.82607,0.998016,330.13358,254.94295,0.26276326,296.94727,259.30334,0.9895467,334.5548,299.17163,0.26583827,314.7829,304.7125,0.9738235,335.64822,295.4384,0.99062246,310.16714,297.2543,0.99874866,350.1364,357.83203,0.9926852,300.94644,363.72522,0.9990038,352.53555,418.05377,0.9827738,289.55872,420.9175,0.9951474,5.0
350.31375,176.12512,0.9813471,354.1509,169.31477,0.7010193,344.69733,169.14618,0.9937237,350.54837,168.32234,0.04615453,326.57162,167.69849,0.98803085,340.66928,203.71631,0.91922534,307.6832,203.08786,0.9979911,330.45258,254.74973,0.26026434,298.57275,259.11218,0.989734,336.01514,298.96387,0.26380205,316.79547,304.16528,0.9741216,335.55988,294.99243,0.9902047,310.44217,296.73444,0.9986998,349.77472,357.00806,0.9923356,300.44406,363.00574,0.99896467,352.6905,418.0926,0.98213583,289.70334,421.18903,0.99499303,5.0
352.10074,176.61363,0.97907376,355.8564,169.7377,0.6613051,346.5396,169.50739,0.99354035,351.7422,168.48006,0.03944354,328.16617,167.69653,0.98908955,341.13458,203.81891,0.9084308,309.73016,202.86996,0.99798644,329.51364,255.0995,0.22797753,300.69354,258.66193,0.98996884,336.17163,298.8161,0.23596068,320.94165,303.73477,0.9743144,336.02167,295.23416,0.99002975,311.80496,296.70862,0.99876726,350.66428,359.0027,0.99274397,300.7321,363.77844,0.99909496,352.59744,418.3889,0.9839017,290.21378,421.59702,0.9957644,5.0
353.09955,177.00134,0.9789069,356.98193,170.23016,0.66519743,347.50305,169.87534,0.9935022,353.09503,169.14848,0.041020084,329.2024,168.11388,0.9889264,341.67792,203.92764,0.90122455,311.09366,203.07275,0.99802125,329.5288,254.85507,0.20168728,301.20975,258.30664,0.98987925,335.65646,298.84894,0.20809755,322.67017,302.96298,0.97327936,336.3524,294.70703,0.98937184,312.6922,296.29968,0.99875987,351.10373,357.71848,0.99277663,301.45486,363.11084,0.9991534,352.84476,418.8984,0.9848964,290.4673,422.17926,0.9962011,5.0
354.75513,178.43356,0.9784741,358.535,171.75781,0.6267092,349.37292,171.2555,0.99423665,354.19366,170.57318,0.032056745,331.15738,169.10277,0.9913577,342.79495,204.91672,0.8960949,312.72522,203.77515,0.9982835,331.4015,255.42505,0.18746543,302.45074,259.32214,0.99186134,339.56577,298.21576,0.2026094,326.46344,303.636,0.97827953,336.7098,296.34277,0.99029493,313.35898,297.87952,0.99897754,353.92783,359.3854,0.9936372,302.08588,365.3809,0.9993325,352.572,419.39075,0.98685676,290.38422,421.90686,0.9969308,5.0
355.18005,180.52338,0.9823622,359.32913,173.70035,0.60674137,349.78836,173.326,0.99617827,355.6761,171.42543,0.024214944,331.772,169.97144,0.9949285,341.70505,204.45383,0.8808317,312.61584,203.66635,0.9990656,330.48026,255.41667,0.11170516,302.27048,260.4546,0.99521095,339.63718,298.51883,0.12569246,327.79678,303.90182,0.9850317,337.07455,296.7218,0.9913271,314.54886,299.1833,0.99940944,357.85992,358.03357,0.99431205,303.16635,368.2718,0.9996282,353.072,417.9983,0.98836607,289.73727,421.34396,0.9980241,5.0
