nose_x,nose_y,nose_v,left_eye_x,left_eye_y,left_eye_v,right_eye_x,right_eye_y,right_eye_v,left_ear_x,left_ear_y,left_ear_v,right_ear_x,right_ear_y,right_ear_v,left_shoulder_x,left_shoulder_y,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_v,left_elbow_x,left_elbow_y,left_elbow_v,right_elbow_x,right_elbow_y,right_elbow_v,left_wrist_x,left_wrist_y,left_wrist_v,right_wrist_x,right_wrist_y,right_wrist_v,left_hip_x,left_hip_y,left_hip_v,right_hip_x,right_hip_y,right_hip_v,left_knee_x,left_knee_y,left_knee_v,right_knee_x,right_knee_y,right_knee_v,left_ankle_x,left_ankle_y,left_ankle_v,right_ankle_x,right_ankle_y,right_ankle_v,class
306.02142,120.62799,0.99705565,311.29926,115.361755,0.98830825,300.60562,115.20767,0.99249333,318.27704,120.263214,0.7695341,291.2907,119.87186,0.9196058,330.61707,155.71213,0.9989832,277.12094,154.85043,0.9989532,340.14252,201.21829,0.9936134,266.87378,197.24863,0.99269485,316.15546,216.27821,0.99064106,287.17447,211.22238,0.98962444,323.1193,228.74352,0.99956423,283.98843,228.34486,0.99950564,340.82425,275.9383,0.9985594,267.3508,276.74286,0.99806494,343.57327,329.55054,0.98732126,265.2169,328.61545,0.9828452,6.0
308.23764,122.01093,0.9977755,313.11475,116.53382,0.9863148,302.7163,116.41658,0.9947943,319.2852,120.78126,0.67302674,292.46835,120.38334,0.9474801,330.5162,156.72775,0.99932945,278.50708,154.80405,0.99912494,340.96808,201.85675,0.99514574,267.96484,196.44653,0.99267924,316.58447,218.34412,0.99264354,288.02203,214.43082,0.9911055,323.45425,229.17693,0.999689,285.13016,229.19954,0.9996246,342.0625,275.82556,0.9990533,267.8715,278.3745,0.99861324,343.33835,329.60214,0.98984396,264.92468,328.95636,0.98434687,6.0
308.6588,122.2679,0.99744993,313.47452,116.80998,0.9840986,303.13943,116.62358,0.99429953,319.45166,121.03207,0.64879584,292.69687,120.51269,0.94868654,330.9007,156.94687,0.99932325,278.8063,155.05031,0.9990557,340.98486,202.38243,0.99519205,268.81354,196.71577,0.99191016,316.0767,218.88963,0.99241215,286.76,214.06508,0.989972,323.98892,228.94539,0.9996891,285.6124,228.9244,0.9996099,342.1058,275.3746,0.9990951,268.03177,278.08136,0.99860674,343.4182,329.6483,0.99064076,265.23413,328.6889,0.9849279,6.0
308.95038,122.26767,0.9977755,313.90567,116.85726,0.9864847,303.5217,116.602234,0.99476826,320.11652,121.16219,0.67942715,293.35538,120.45934,0.94769,331.27255,156.9784,0.99934417,279.49692,155.03816,0.99913055,340.67484,202.0736,0.99512094,268.93018,196.36862,0.99234664,315.5974,219.22897,0.9924287,287.1969,214.46028,0.99051976,324.10254,229.17514,0.99970055,285.90955,229.10532,0.99963593,342.3097,275.71097,0.9991351,267.9635,278.18994,0.9987118,343.26904,329.91382,0.99095446,264.94116,329.10376,0.9858532,6.0
309.7423,122.448784,0.9976144,314.83063,117.11279,0.98566794,304.50107,116.61166,0.9943116,321.11212,121.18451,0.6836727,294.37247,119.9102,0.94697857,332.4279,156.90121,0.9993697,279.82675,155.13086,0.9991473,340.71948,201.82394,0.9952318,269.94464,197.28828,0.99233645,315.84634,218.72786,0.9924004,290.1976,215.00171,0.9902934,324.79953,228.91202,0.9996984,286.01688,228.86406,0.99962926,342.11926,274.5982,0.99913615,268.4935,277.02853,0.99870086,342.97226,329.66827,0.99113244,265.49344,328.92123,0.9860642,6.0
311.2983,123.92969,0.99736303,316.92957,118.86047,0.9877558,306.02148,117.86467,0.9944792,323.52078,123.47583,0.7182529,295.90036,121.11279,0.9436325,333.56018,158.44998,0.998841,280.17584,156.38509,0.9989329,340.08032,203.02779,0.99208856,270.90082,199.2835,0.9921293,316.07983,220.47256,0.989507,294.9725,217.0547,0.989075,324.27887,231.77603,0.9995203,285.01593,230.797,0.9994784,341.6312,277.7041,0.99860305,267.50012,277.99356,0.9981712,343.61023,329.46527,0.9886961,265.52847,328.20175,0.9847573,6.0
312.75513,125.49489,0.99704045,318.31894,120.28638,0.9879931,307.39392,119.45856,0.99377394,324.8988,124.35263,0.73354316,297.1493,122.31201,0.93850017,334.54364,159.29813,0.9988651,280.93756,156.639,0.99844676,340.37637,204.04239,0.9920141,270.64465,198.08391,0.98546195,316.6568,223.0235,0.98808414,293.766,218.49173,0.9794475,324.75275,232.88707,0.9995177,285.37106,231.77896,0.9993505,342.05087,279.3699,0.9986609,267.23566,279.5386,0.9977825,343.88617,329.42517,0.98985755,265.5015,327.9745,0.9836391,6.0
314.88553,127.010544,0.99767166,320.4204,121.83545,0.9870285,309.8082,120.83011,0.9945984,326.61823,125.85249,0.6762707,299.1769,123.26451,0.94292724,334.94437,160.60065,0.99924564,282.02045,157.5147,0.99894553,341.14526,205.19537,0.99525815,271.5583,201.74957,0.9917157,318.3546,225.47086,0.9929133,295.78036,222.93112,0.9899171,326.1756,233.79436,0.9996455,286.957,233.14227,0.99954504,344.10037,280.43704,0.9988349,267.8329,280.54648,0.99815434,343.21393,329.0555,0.98912585,264.87946,328.47427,0.98259324,6.0
317.50647,128.44861,0.99749905,322.80203,123.40573,0.9850869,312.4376,122.35837,0.99476975,328.4887,127.495544,0.64044154,301.4678,124.82013,0.95378125,336.6012,162.22852,0.9992754,283.5693,158.686,0.9988458,341.40897,206.4985,0.9950223,277.97354,204.05136,0.9896667,320.63727,230.34343,0.992136,302.39926,229.42332,0.9870026,326.64694,235.20534,0.99965537,287.12122,234.34468,0.99952364,344.5937,281.54486,0.99892527,268.3934,281.8535,0.9981786,343.0226,329.53708,0.9903494,265.29465,328.9961,0.9835706,6.0
320.5215,129.30548,0.997347,325.7762,124.39252,0.9854541,315.5824,123.37143,0.9943614,331.4152,128.67862,0.6622373,304.95312,126.01721,0.9503859,338.91614,163.27103,0.99928206,286.9021,159.19969,0.9986778,343.2011,206.70355,0.9948554,280.22897,203.34882,0.98677886,325.54218,232.51671,0.9911947,300.25043,228.47183,0.9824181,327.5811,235.79794,0.9996544,288.77777,234.664,0.99947983,345.23593,282.20465,0.99893993,268.92575,283.07584,0.9980095,343.23383,329.8413,0.99074453,265.29922,329.16266,0.9828888,6.0
