nose_x,nose_y,nose_v,left_eye_x,left_eye_y,left_eye_v,right_eye_x,right_eye_y,right_eye_v,left_ear_x,left_ear_y,left_ear_v,right_ear_x,right_ear_y,right_ear_v,left_shoulder_x,left_shoulder_y,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_v,left_elbow_x,left_elbow_y,left_elbow_v,right_elbow_x,right_elbow_y,right_elbow_v,left_wrist_x,left_wrist_y,left_wrist_v,right_wrist_x,right_wrist_y,right_wrist_v,left_hip_x,left_hip_y,left_hip_v,right_hip_x,right_hip_y,right_hip_v,left_knee_x,left_knee_y,left_knee_v,right_knee_x,right_knee_y,right_knee_v,left_ankle_x,left_ankle_y,left_ankle_v,right_ankle_x,right_ankle_y,right_ankle_v,class
257.19568,102.072235,0.9987332,263.58682,96.6197,0.9966378,252.04219,96.916245,0.9918441,273.44354,103.255005,0.9427639,245.0029,103.61164,0.78122723,289.28284,143.17256,0.99923956,231.21223,142.25821,0.99945444,299.48438,191.14667,0.9932715,216.72417,184.91092,0.9958562,268.65787,200.10419,0.9923267,245.15634,195.50673,0.99477863,280.28317,231.22197,0.9997452,238.49344,230.1061,0.9997737,291.28943,288.7604,0.9989126,223.80284,287.5563,0.99890125,292.03378,342.59393,0.98218876,215.43604,340.40417,0.98187476,7.0
255.60501,104.04579,0.9985643,262.0466,98.555466,0.9963403,250.37569,98.922935,0.9906262,272.08557,105.06689,0.9432983,243.29794,105.57694,0.76921487,287.83963,144.89542,0.9992962,230.07716,143.85345,0.9994241,298.06125,193.44691,0.9940942,214.9752,186.88187,0.99560034,266.54614,202.898,0.99297136,242.8739,198.45941,0.9944713,278.8508,232.27193,0.99976915,237.2932,231.11641,0.9997801,290.86258,289.04257,0.999015,222.12589,287.6505,0.9989304,291.8985,342.05615,0.9841373,215.81677,340.41687,0.9829227,7.0
253.99559,105.25887,0.9988667,260.20084,99.66145,0.9967771,248.5407,100.22192,0.9933095,269.858,105.75106,0.9375838,241.30135,106.74547,0.82326615,286.04193,146.01393,0.9994099,228.61522,144.50676,0.99949694,296.54697,194.6631,0.9949078,212.87637,186.34882,0.9958786,264.82495,205.24231,0.9940427,231.90105,198.26642,0.9951422,277.0672,231.89069,0.99979657,236.01292,230.59879,0.9998029,289.09476,289.16205,0.9991683,220.98058,288.55072,0.9990734,291.18088,342.2567,0.98607916,215.60419,341.06055,0.9844036,7.0
251.81833,105.119286,0.99891245,258.24707,99.8807,0.9969874,246.5369,100.202965,0.9931884,268.02197,106.80013,0.94302934,239.31213,107.16146,0.8180553,284.07874,146.26263,0.9994979,226.54575,144.80583,0.99949837,294.23746,194.99194,0.99580705,211.94989,187.92888,0.99579513,263.34143,206.74406,0.9949269,235.1457,201.17294,0.9951159,275.56876,231.69684,0.99982184,234.27817,230.61755,0.9998118,288.42654,287.85342,0.9992561,220.28851,287.64725,0.99909484,291.74915,342.40628,0.98707694,215.17207,340.89536,0.98455775,7.0
249.92859,105.22471,0.9991032,256.27075,99.89296,0.9975095,244.64906,100.232056,0.9941499,265.9788,106.34056,0.94795305,237.46681,106.746544,0.82403046,282.0639,145.31065,0.9995621,225.1011,143.57681,0.9995327,292.66965,193.94722,0.9963242,210.79178,187.21167,0.99591064,261.2321,206.85387,0.9955515,231.47981,200.58102,0.9954122,274.15826,230.86243,0.9998386,233.33043,229.68271,0.99982375,287.11646,287.36288,0.99932945,220.39166,287.00104,0.99915564,291.0986,342.2242,0.9878203,214.98999,340.8749,0.98508286,7.0
248.02512,104.444725,0.99926096,254.61075,99.075386,0.99804354,242.8576,99.19512,0.9947237,264.70007,105.37981,0.9560614,235.815,105.28918,0.81227946,280.77234,143.9463,0.99959654,224.20084,142.4006,0.9995479,291.63327,192.87518,0.99659747,209.3091,186.40439,0.9959092,259.95135,205.78339,0.9959663,229.5639,200.64948,0.99557185,273.45038,230.06012,0.9998462,232.94966,229.07558,0.99982834,286.37964,286.28638,0.9993856,220.16074,286.72382,0.9992041,290.99817,342.35568,0.9886131,215.34161,341.276,0.985754,7.0
246.77267,103.92084,0.99932647,253.17175,98.541,0.99815696,241.56436,98.78228,0.99533373,263.09045,104.73441,0.9563631,234.51999,104.93298,0.8341235,279.79492,143.26994,0.9996493,222.54922,141.81085,0.9995902,290.29242,192.24124,0.99685234,207.98145,185.89903,0.9959423,258.9822,204.51404,0.9960567,227.97739,198.94925,0.99547017,273.02856,229.32793,0.99986184,232.07285,228.48477,0.9998429,286.2957,285.72238,0.9994475,220.06506,286.24316,0.9992692,290.87384,342.09055,0.9894422,215.32152,341.31824,0.98652786,7.0
244.09485,103.76668,0.9993211,250.5853,98.3347,0.9981014,238.97514,98.416626,0.995226,260.54285,104.260765,0.9544369,231.87132,104.244415,0.8300396,277.77957,142.4124,0.99967694,219.83469,142.43027,0.999569,289.69638,191.10191,0.997335,206.02844,185.49649,0.9958205,257.09317,202.2392,0.99676704,224.83487,197.21515,0.99563193,272.07745,228.91142,0.99987435,230.89825,228.65161,0.99984634,285.4553,286.79218,0.99951017,219.51599,286.99994,0.99929297,289.82648,341.6024,0.9904013,215.04451,340.48294,0.9869718,7.0
243.3936,104.03038,0.9992378,249.76039,98.688995,0.99775106,238.15004,98.89065,0.9952331,259.59268,104.8215,0.9461793,230.89577,105.03706,0.85441875,277.10355,142.75008,0.9996896,219.10239,142.58646,0.9995623,288.52936,191.43274,0.99740297,204.68216,185.53128,0.99557805,256.8436,202.45352,0.99661714,225.22414,197.41566,0.9951521,271.349,228.97263,0.99987805,230.05745,228.6609,0.9998466,285.1539,286.00934,0.9995227,218.98042,285.7937,0.99929214,290.12732,341.42737,0.99082667,214.9116,340.76373,0.98720676,7.0
243.0151,105.745514,0.9986564,249.26189,100.186775,0.9964886,237.70854,100.373535,0.9927753,259.0015,106.207756,0.9293414,230.32915,106.440216,0.82822293,276.04044,144.17151,0.99922895,218.108,143.99556,0.99912804,287.13086,192.10022,0.9930016,204.48172,186.87457,0.99085313,256.31845,202.69443,0.9906431,227.662,198.4586,0.98808694,271.12088,229.24979,0.99958926,228.92651,229.0378,0.99952877,285.5009,285.8157,0.9982132,217.99358,286.97058,0.9976476,291.23242,340.98727,0.9718925,215.06334,339.30402,0.96469116,7.0
243.00374,107.355,0.9987458,249.41089,101.91299,0.99679863,237.9588,101.74488,0.9928618,259.16553,107.85541,0.9350245,230.67448,107.31349,0.8168069,275.66397,145.29317,0.9992465,218.2114,145.30128,0.9991229,286.93124,192.69022,0.993491,204.62868,188.45068,0.9911815,256.83234,205.02838,0.99165064,228.87648,200.5094,0.98898846,270.56686,230.02226,0.99958867,228.63,229.78958,0.9995177,285.3268,286.39905,0.9981887,217.15564,286.65878,0.9975594,291.44775,341.10266,0.9711571,214.95828,339.42316,0.9634911,7.0
244.25436,108.939156,0.9989365,250.68289,103.65878,0.9966101,239.00099,103.151825,0.99501795,259.73593,109.92947,0.9119734,230.86984,108.63441,0.8749757,275.4276,146.68816,0.9992555,218.14316,146.27574,0.99927837,287.13416,193.84132,0.9936581,205.31824,190.77174,0.99346596,258.67834,208.59724,0.9926872,233.5817,205.00363,0.9922369,271.0674,230.70224,0.99959916,229.03311,230.44588,0.99956816,285.17664,286.69614,0.99820375,216.02827,287.52008,0.99775475,292.3205,341.46912,0.9702313,214.63593,339.31537,0.9637889,7.0
245.73328,111.233246,0.9985165,252.14833,106.26993,0.99502975,240.96375,105.122086,0.99352735,260.5614,112.342964,0.88715166,232.71613,109.64314,0.8662931,275.30765,148.10983,0.99898213,217.91148,147.89679,0.9991856,287.2182,194.27794,0.9917555,207.70044,193.67017,0.9936713,263.28387,212.44699,0.99041873,232.78351,207.50601,0.99214786,271.89758,230.60793,0.9994753,229.54326,230.64572,0.99948764,285.6917,285.60953,0.9976605,215.54501,286.8577,0.9973953,292.69785,340.97458,0.9649044,214.55272,339.88336,0.96080744,7.0
248.82217,113.16132,0.9989993,255.0372,108.478386,0.995656,243.92538,107.31991,0.9959971,263.07358,113.96192,0.8540366,235.09055,111.10455,0.91081786,276.1533,148.34596,0.99954176,220.8074,148.24176,0.9992611,287.39728,194.60928,0.996741,210.96608,196.00854,0.9936906,267.28903,217.47375,0.99588865,236.53017,216.04921,0.99383,272.41373,231.89738,0.99978036,232.23904,232.56793,0.99970514,287.23526,284.7534,0.9989525,215.58542,286.76135,0.9983039,290.94556,339.883,0.98248094,213.11171,338.05817,0.9728132,7.0
255.7322,115.09675,0.99920565,262.43036,110.80846,0.996256,251.19609,108.700195,0.9970197,269.65704,117.18147,0.86955106,241.80977,112.09477,0.9366852,279.9621,151.24048,0.9996008,223.9778,149.59169,0.9995995,290.94666,194.63101,0.9966955,217.24533,197.048,0.99663264,279.08142,225.91708,0.9960602,242.68481,220.36838,0.9961737,273.66205,232.50891,0.99987006,233.38261,232.12727,0.9998566,286.81683,284.84872,0.99961627,217.6925,286.72812,0.9994979,290.84943,340.51712,0.9942273,214.21524,339.4944,0.99236166,7.0
260.59824,115.14046,0.9991849,267.46436,110.979614,0.99478626,256.10522,108.169586,0.9977024,274.22717,117.312485,0.7975445,246.13326,110.57118,0.9595205,283.20355,151.83151,0.9994025,227.67824,148.83023,0.99971324,293.60742,195.18764,0.99413764,221.78468,199.14673,0.9980471,288.45963,229.55663,0.99400723,252.71184,227.09543,0.9975944,275.19177,233.69049,0.99982065,235.11308,232.6423,0.9998658,287.3655,287.73752,0.9994523,219.19806,289.48663,0.9995327,291.70285,341.35382,0.99222976,215.03827,339.45227,0.9924865,7.0
266.9358,114.89192,0.9979479,273.8233,110.78122,0.987884,262.47067,107.57503,0.9957617,280.14346,116.76315,0.6641326,251.77205,109.01131,0.9519377,286.41235,151.25037,0.9986834,232.12212,147.44037,0.9993012,295.71497,193.89117,0.9894911,225.60507,198.18591,0.9959202,298.3814,229.90172,0.9876787,257.87622,228.3997,0.9942214,275.57733,232.44807,0.9995776,236.2717,231.25299,0.9996592,289.94012,286.89322,0.9988545,220.80568,288.39816,0.99896336,292.36136,340.83987,0.9897933,215.56209,339.47955,0.9896563,7.0
273.75717,113.98369,0.99896586,280.14423,110.11423,0.9887744,269.56793,106.88133,0.99804986,285.28854,115.734474,0.552829,258.69086,107.59631,0.98017484,289.95978,150.11461,0.9995789,235.95755,144.06189,0.99971575,298.23352,192.76665,0.9970511,228.23099,195.92635,0.9984849,308.8858,232.24808,0.9970439,261.12433,229.18942,0.9984604,278.1471,230.78735,0.9999114,239.49988,229.39957,0.9999176,291.84653,285.98303,0.9997813,223.85973,288.4538,0.9997633,291.87094,341.9848,0.9969202,216.76027,339.8932,0.99621516,7.0
280.96228,114.06807,0.9986211,287.7453,110.57071,0.98359734,277.0774,106.5531,0.9977653,292.45026,116.32937,0.46193507,265.71875,106.24576,0.98063284,294.23926,149.90517,0.9993788,240.8978,141.91493,0.9996996,302.14218,191.75354,0.99596334,230.02122,193.91907,0.9987097,315.15332,228.31894,0.9962607,263.11493,227.00775,0.99863714,278.88965,229.60088,0.99988735,240.87285,227.30734,0.9999101,291.41162,285.7612,0.99972683,225.29387,287.4068,0.99975103,291.36002,341.941,0.99642026,216.71527,339.4231,0.9961274,7.0
289.1569,114.53583,0.99752635,295.80914,111.0665,0.972259,285.6295,106.85571,0.99663675,298.79657,116.66998,0.37480506,273.36658,106.14142,0.97821015,298.1423,149.17949,0.9990496,247.6295,141.70676,0.99935776,305.03885,190.3466,0.9936731,231.9431,192.5774,0.99670416,321.79633,224.76733,0.9928645,264.15704,224.73409,0.99609286,280.72162,227.986,0.9996401,244.58101,226.01372,0.9996623,291.53918,283.53036,0.9992465,227.08531,286.22754,0.99914706,291.10382,340.68323,0.99355984,217.46265,337.1371,0.99157834,7.0
303.07242,118.24298,0.9975089,310.68445,115.11545,0.9699247,299.80878,109.95618,0.99722433,313.86255,120.375046,0.29938462,287.09412,107.420074,0.9791631,306.52417,150.31293,0.9981146,258.49118,140.55145,0.9991652,309.71893,185.6377,0.98693883,233.7678,187.09492,0.99609655,328.89093,213.17877,0.9880752,261.87186,222.52286,0.99540085,281.0274,227.83757,0.99936634,246.96846,224.73416,0.9995091,291.90765,283.17618,0.9990972,230.7822,285.31863,0.99916387,290.8371,340.33212,0.9943455,215.69623,337.14795,0.9935455,7.0
316.25858,124.50757,0.9952108,323.47122,121.57855,0.91846025,313.71954,116.06766,0.9967579,324.29227,125.967224,0.116923474,300.36853,112.01593,0.9854601,311.9682,153.58772,0.9958956,268.50467,141.39828,0.99882966,311.5551,183.73979,0.9743959,233.86816,181.7514,0.9957092,333.99792,199.73322,0.9789878,253.6332,221.96748,0.9945285,278.89365,227.80748,0.9988889,247.7596,223.74991,0.99928504,291.92725,282.48914,0.9986817,234.27145,285.22803,0.99901056,290.71695,339.43185,0.9936254,214.06268,334.35614,0.9935541,7.0
321.47015,128.50104,0.99497706,328.5891,125.73622,0.90053153,319.3446,119.94397,0.9972506,328.61374,129.7865,0.079662085,305.6203,115.05638,0.9893668,314.48816,156.27435,0.9956886,272.82516,142.39728,0.99870384,313.65125,183.33865,0.9753842,234.84319,178.5557,0.99526983,335.2831,194.85426,0.98013866,248.92982,219.86029,0.9940671,279.2361,228.10397,0.99889743,249.40714,223.33109,0.99924964,291.70966,281.88678,0.9986879,235.8323,284.88916,0.99894637,290.6766,339.60464,0.99360114,214.23634,333.5568,0.99306,7.0
