nose_x,nose_y,nose_v,left_eye_x,left_eye_y,left_eye_v,right_eye_x,right_eye_y,right_eye_v,left_ear_x,left_ear_y,left_ear_v,right_ear_x,right_ear_y,right_ear_v,left_shoulder_x,left_shoulder_y,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_v,left_elbow_x,left_elbow_y,left_elbow_v,right_elbow_x,right_elbow_y,right_elbow_v,left_wrist_x,left_wrist_y,left_wrist_v,right_wrist_x,right_wrist_y,right_wrist_v,left_hip_x,left_hip_y,left_hip_v,right_hip_x,right_hip_y,right_hip_v,left_knee_x,left_knee_y,left_knee_v,right_knee_x,right_knee_y,right_knee_v,left_ankle_x,left_ankle_y,left_ankle_v,right_ankle_x,right_ankle_y,right_ankle_v,class
328.6092,173.9161,0.9975514,332.76523,166.38461,0.95314586,321.12842,168.18298,0.9968925,336.74756,164.7522,0.23787574,307.17923,169.24313,0.98655325,344.50046,202.4469,0.999022,293.2714,209.54533,0.99965477,352.78497,248.70967,0.9908661,288.46893,264.8014,0.99803656,363.33698,287.57874,0.99233246,296.2623,312.1394,0.99793625,341.42004,294.02344,0.9995851,309.40683,299.0423,0.99973303,337.15952,357.82974,0.9994342,312.7856,369.50964,0.9996363,328.3518,405.71375,0.9937157,317.12292,436.6715,0.99435025,9.0
329.07635,174.04257,0.9976368,333.345,166.72476,0.95815283,321.81702,168.28036,0.99668723,337.42908,165.53203,0.27100867,308.33997,169.45462,0.98396,344.86133,202.96689,0.99897826,294.04047,209.86417,0.99963653,353.097,248.87946,0.9902817,289.73056,264.42834,0.9978703,363.4919,287.7776,0.99187565,297.5667,312.4672,0.9977443,341.98975,295.17615,0.9995771,310.18814,300.08658,0.99972755,336.6708,359.73795,0.9993855,313.8019,370.8947,0.9996043,329.00488,405.93527,0.9929904,316.9517,436.4409,0.99377406,9.0
329.3921,173.61142,0.9974726,333.76324,166.37134,0.9557063,322.15015,167.73141,0.99652594,337.95215,165.34982,0.26491347,308.64966,168.86147,0.9836879,345.10706,202.29446,0.99890435,294.63748,209.42184,0.9996123,353.2234,248.09232,0.9896264,290.62,264.55264,0.99775344,363.27664,286.7772,0.9913434,298.89343,312.629,0.99759656,341.8039,293.85516,0.9995333,310.2201,298.7202,0.9996996,336.54468,358.70078,0.9993568,313.5037,369.6509,0.99958616,328.11575,406.2884,0.99294585,316.56287,436.49768,0.9937452,9.0
330.89304,172.5704,0.99775475,334.94772,165.4276,0.9580063,324.10715,166.66983,0.9967006,338.42435,164.56122,0.27930248,310.26376,167.81787,0.98289824,345.83047,201.36847,0.9993343,295.49542,207.74048,0.9995851,353.47565,247.33012,0.99412245,292.39087,263.4758,0.997324,363.78384,285.7134,0.9944701,300.90887,309.46744,0.9974356,342.77036,292.67972,0.9997373,311.24384,297.63605,0.999777,336.45972,359.22556,0.99958056,313.06082,368.72125,0.9996113,328.92584,406.29987,0.9941685,314.52948,434.90503,0.9930835,9.0
331.14185,171.87314,0.9976999,335.12393,164.8309,0.95908237,324.44318,166.10733,0.99633944,338.70767,164.33136,0.30634,311.03967,167.69453,0.98054206,346.1802,201.52103,0.99936646,296.15515,208.12662,0.9996074,353.63983,247.19406,0.9945045,292.57156,264.0264,0.9975333,363.607,285.49457,0.9947448,301.50595,309.7843,0.99758744,342.7782,292.7142,0.9997497,311.2985,297.67786,0.9997881,336.3883,358.51395,0.99958366,312.86523,367.86984,0.99961483,329.21088,406.1405,0.99410087,313.70978,434.10376,0.9930627,9.0
331.32837,171.5098,0.99774915,335.28885,164.48395,0.95680946,324.50937,165.66986,0.99674416,338.68152,164.21669,0.2730514,310.589,167.41592,0.98362654,346.0173,201.08049,0.99936074,295.9295,207.67169,0.9996081,353.86826,246.61996,0.99450773,292.8252,263.51636,0.99756765,363.6353,285.5449,0.99486154,302.3525,309.76813,0.9976648,342.65802,292.31326,0.99975187,311.1473,297.21628,0.9997906,336.24994,358.23663,0.99959224,312.61,367.23926,0.999624,329.28403,405.5455,0.99422616,313.19946,433.68658,0.99319285,9.0
331.4358,171.23996,0.99797684,335.45486,164.28012,0.9631746,324.55212,165.46048,0.9969023,339.158,164.50488,0.3070983,310.88614,167.73218,0.9827267,346.3439,201.42651,0.99936837,296.32275,207.9112,0.99962556,353.87036,246.00035,0.9942859,293.03268,263.18936,0.9975987,363.60144,285.61996,0.99463755,302.40622,309.63422,0.99767,342.51602,292.35788,0.99974686,310.98978,297.2288,0.9997913,336.36765,358.0165,0.9995722,312.2213,367.1354,0.99961853,328.7517,404.6416,0.99387735,312.79456,434.02203,0.99298203,9.0
331.54034,170.68054,0.9978988,335.5101,163.7796,0.96098346,324.52487,164.90756,0.99689615,339.22815,164.51875,0.29117206,310.66153,167.6875,0.98344755,346.61792,201.80042,0.99936205,296.38052,207.97726,0.99961877,353.9677,246.03076,0.9943494,293.00354,263.34735,0.9975994,363.51538,285.32843,0.99472356,302.52472,309.96475,0.99768496,342.24094,292.79803,0.9997471,310.49072,297.48962,0.99979025,335.89188,358.39554,0.9995641,311.72528,367.4319,0.99961,329.01822,404.4332,0.99372816,312.9075,434.3622,0.9927666,9.0
331.78116,170.7437,0.9978873,335.66107,163.68462,0.9599801,324.65674,165.04083,0.996983,339.24866,164.06068,0.27843067,310.5895,167.73682,0.98429996,346.3189,201.20181,0.9993481,296.39062,207.79686,0.99960834,353.88168,246.03526,0.9941802,292.94293,263.0166,0.99752206,363.25287,285.58008,0.9944846,302.0733,310.0055,0.9976063,342.42484,291.69873,0.9997298,310.87982,297.04373,0.99977547,337.33865,354.8813,0.99956435,311.5457,367.24823,0.999607,328.81458,403.85974,0.99409735,313.01404,434.138,0.99298745,9.0
332.05542,169.87808,0.99803096,336.14053,162.9548,0.9661876,324.88828,164.15378,0.99695265,340.1963,164.1099,0.32532763,311.12775,167.4678,0.98266923,346.83362,201.28658,0.99939275,296.68423,208.17279,0.9996112,353.86188,245.83209,0.99437135,292.81363,263.83014,0.99737823,362.6721,284.98105,0.9943988,301.71954,310.743,0.99738663,342.57935,291.0837,0.99972934,310.70517,296.8073,0.9997682,340.05438,352.71237,0.9995627,311.43195,367.02338,0.9995927,329.20294,403.06268,0.9941115,313.4519,433.09863,0.99280316,9.0
