nose_x,nose_y,nose_v,left_eye_x,left_eye_y,left_eye_v,right_eye_x,right_eye_y,right_eye_v,left_ear_x,left_ear_y,left_ear_v,right_ear_x,right_ear_y,right_ear_v,left_shoulder_x,left_shoulder_y,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_v,left_elbow_x,left_elbow_y,left_elbow_v,right_elbow_x,right_elbow_y,right_elbow_v,left_wrist_x,left_wrist_y,left_wrist_v,right_wrist_x,right_wrist_y,right_wrist_v,left_hip_x,left_hip_y,left_hip_v,right_hip_x,right_hip_y,right_hip_v,left_knee_x,left_knee_y,left_knee_v,right_knee_x,right_knee_y,right_knee_v,left_ankle_x,left_ankle_y,left_ankle_v,right_ankle_x,right_ankle_y,right_ankle_v,class
322.70267,153.97444,0.9972625,326.09695,146.5407,0.9520819,315.2157,148.71104,0.9970696,329.26895,146.19576,0.21563286,301.12213,151.27333,0.98793656,337.43304,185.66898,0.99891317,286.81543,188.77997,0.9994856,344.6136,233.73117,0.98963505,280.05566,241.72752,0.9966402,354.4085,274.8795,0.98978674,288.37674,285.913,0.9963826,335.60767,280.04443,0.99971336,302.8452,283.11044,0.99978775,332.78687,344.41528,0.99960667,301.31003,350.93628,0.9996903,328.2015,396.65533,0.9959202,299.09818,419.68323,0.99578106,10.0
322.87326,153.72063,0.9972561,326.23117,146.42833,0.94979924,315.40918,148.43085,0.99712557,329.3312,146.49088,0.20422821,301.22275,151.23035,0.98870754,337.54166,185.60623,0.99900025,286.70956,188.87372,0.99950874,344.4181,233.45795,0.99102765,279.70026,242.1455,0.9969259,354.37833,274.3891,0.9912574,288.26083,286.44434,0.99675435,335.68414,279.56824,0.9997378,302.7427,282.65805,0.99980074,332.7158,343.6844,0.999642,301.29883,350.19907,0.9997075,328.14484,396.8348,0.99617684,299.0109,419.08557,0.9959259,10.0
323.0505,153.67671,0.9973258,326.39554,146.43443,0.9510984,315.49265,148.38123,0.9971859,329.59225,146.83412,0.20712031,301.24496,151.48886,0.98887295,337.5962,186.18402,0.99905914,286.88846,189.16022,0.9995136,344.13184,233.49786,0.99178785,279.46286,242.10568,0.9969773,354.48932,274.38553,0.9920231,287.98755,287.0423,0.99685717,335.2461,279.83655,0.9997478,302.39514,282.75977,0.9998022,332.78192,344.28583,0.9996444,301.32495,350.2615,0.9997012,328.09064,396.841,0.9960896,298.9916,419.57715,0.9957514,10.0
323.17267,153.86258,0.99721366,326.57007,146.52588,0.94879854,315.58823,148.49454,0.9971457,329.65753,146.65457,0.19649234,301.0895,151.337,0.98894274,337.30768,186.02112,0.9990004,286.62878,189.1066,0.9994722,344.0886,233.80896,0.9913339,279.33676,242.41914,0.99671006,354.4916,274.49762,0.9915672,287.6169,287.7437,0.99659,335.15582,279.62418,0.9997265,302.3582,282.7825,0.99978286,332.7547,343.6532,0.99962175,301.06195,350.76257,0.99967706,328.07996,396.7613,0.99596053,299.0458,419.8637,0.9955194,10.0
323.3856,154.07849,0.99721366,326.75256,146.68141,0.9488564,315.7069,148.7528,0.9971963,329.83035,146.7348,0.19484039,301.0627,151.65831,0.98923475,337.30505,186.02084,0.9989882,286.48782,189.17694,0.9994711,344.08026,233.51447,0.990945,278.96652,242.38982,0.9965996,354.41653,274.34558,0.99104184,287.50085,287.8586,0.99641234,335.12988,279.76672,0.9997272,302.2342,283.0904,0.999785,332.80762,342.92615,0.9996276,300.93784,350.80902,0.99968433,328.26382,396.06854,0.9961189,299.02744,419.7091,0.9956909,10.0
323.36273,154.46136,0.9974027,326.83353,146.86606,0.95264816,315.62543,149.11615,0.9973043,330.03265,146.38362,0.20473038,300.9772,151.64995,0.9891011,337.57605,186.09894,0.99902105,286.33154,189.2268,0.99949384,344.26505,234.1448,0.99104816,278.87592,242.665,0.99669975,354.85654,275.1242,0.9911732,287.15466,287.8308,0.99655175,335.27527,280.06604,0.99972993,302.13568,283.5737,0.9997888,332.94116,343.03906,0.9996258,300.5964,352.21674,0.9996861,328.07718,395.95532,0.99605703,299.17267,420.36432,0.99562484,10.0
323.43597,154.7294,0.997269,326.93094,147.14975,0.950501,315.68024,149.29211,0.99727196,330.11035,146.7486,0.19975516,300.89294,151.81406,0.9893175,337.7587,186.4975,0.99895406,286.328,189.65376,0.9994815,344.81528,234.50134,0.99014026,278.36765,243.0068,0.9965706,354.94366,275.5614,0.9902242,286.99017,287.8602,0.9963297,335.14798,280.2731,0.99971384,301.9511,283.5365,0.9997814,332.68292,343.6619,0.9996086,300.52396,351.31946,0.99967957,328.33075,396.31476,0.9959759,299.12555,419.87555,0.9956541,10.0
323.57626,154.95628,0.99714226,327.08423,147.60144,0.9479591,315.94617,149.45802,0.9972168,330.20825,147.65097,0.19076733,301.18988,152.04518,0.9895271,337.69543,186.95404,0.99895144,286.48434,189.66406,0.9994523,345.21448,234.61455,0.9904626,277.93198,242.31628,0.99641836,355.06064,275.8474,0.9904937,287.38147,287.8426,0.9962076,334.98508,280.69144,0.9997135,301.93198,283.89304,0.9997744,332.5719,343.26297,0.9996043,300.36923,351.49014,0.99966466,328.2107,396.5986,0.99597234,298.70157,419.99866,0.99551046,10.0
323.52237,155.31946,0.9970234,326.96213,147.96881,0.94557923,315.9217,149.84213,0.9971988,329.91553,147.96942,0.18213779,301.04184,152.45251,0.9900491,337.7564,186.99649,0.99900085,285.94147,190.39897,0.99940693,345.18466,234.31262,0.99102646,276.83926,242.9502,0.9959632,355.35785,276.5945,0.9909657,288.94275,286.52084,0.9958616,334.59045,280.82526,0.9997249,301.1559,284.28342,0.9997675,332.03137,343.6924,0.9996269,300.09186,351.75226,0.99965894,328.26416,395.89844,0.99622583,298.90295,419.5152,0.9955384,10.0
323.51318,155.74007,0.99710804,327.10248,148.457,0.94839114,315.98428,150.17879,0.99722457,330.29895,148.4701,0.19201611,301.2919,152.5292,0.98992074,338.1488,187.35771,0.9990182,286.0384,190.23198,0.99942183,345.24805,234.22,0.9908222,276.80505,242.55072,0.9959222,355.74307,276.3861,0.99061185,289.72778,285.01367,0.99578094,334.5721,281.24762,0.99973196,300.95547,284.5242,0.999775,332.5464,344.14325,0.99963164,300.6695,352.23615,0.9996686,328.39316,396.35815,0.9962669,299.32986,419.9549,0.9956454,10.0
323.56427,156.35806,0.9973483,327.28613,148.9696,0.953589,316.0114,150.81244,0.9972958,330.7988,148.5729,0.2088664,301.4938,152.82385,0.989238,338.61957,187.95795,0.9990589,286.10223,190.4386,0.99945766,345.60693,234.50714,0.9914227,276.3589,242.10474,0.9963619,355.92166,275.8202,0.99164563,291.2267,283.1784,0.99642736,334.06882,281.55487,0.99974376,300.21124,284.6879,0.9997868,332.35782,344.21167,0.9996352,300.4597,352.1801,0.9996773,328.36758,396.4809,0.9961817,299.02588,419.6357,0.9956232,10.0
