nose_x,nose_y,nose_v,left_eye_x,left_eye_y,left_eye_v,right_eye_x,right_eye_y,right_eye_v,left_ear_x,left_ear_y,left_ear_v,right_ear_x,right_ear_y,right_ear_v,left_shoulder_x,left_shoulder_y,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_v,left_elbow_x,left_elbow_y,left_elbow_v,right_elbow_x,right_elbow_y,right_elbow_v,left_wrist_x,left_wrist_y,left_wrist_v,right_wrist_x,right_wrist_y,right_wrist_v,left_hip_x,left_hip_y,left_hip_v,right_hip_x,right_hip_y,right_hip_v,left_knee_x,left_knee_y,left_knee_v,right_knee_x,right_knee_y,right_knee_v,left_ankle_x,left_ankle_y,left_ankle_v,right_ankle_x,right_ankle_y,right_ankle_v,class
284.34958,191.11176,0.9988901,288.87708,182.77573,0.9947949,276.54645,185.68575,0.9945627,297.61798,181.15079,0.81816584,267.39746,188.83972,0.87562716,323.16052,211.42767,0.9994474,265.3469,224.62637,0.99922526,354.31683,257.86417,0.9954034,257.20044,268.77792,0.99261934,344.51596,304.42676,0.9950884,253.16542,311.06943,0.99382305,333.7398,290.6569,0.99965453,297.3165,298.87454,0.9995815,345.66516,347.94592,0.99930847,303.09964,367.36755,0.99922,333.7267,391.5747,0.9918168,302.97452,435.15723,0.9894252,11.0
288.2852,186.51501,0.9988825,292.8251,178.4286,0.993822,280.44348,180.96167,0.99582005,300.93787,178.05566,0.7754452,270.5426,184.87097,0.9244464,326.0216,210.28442,0.99950695,266.77588,222.11322,0.9994017,355.6916,256.87576,0.99530137,257.00372,267.93008,0.99368286,345.61172,301.01654,0.994663,251.97308,311.17944,0.99398345,333.98834,291.35086,0.9996921,296.65884,298.58557,0.9996517,345.88693,350.19037,0.99937975,301.3491,367.87506,0.99933463,331.85672,393.49393,0.99238765,303.99762,435.1216,0.9904174,11.0
292.84915,182.90875,0.9987153,297.15668,175.03386,0.9914051,285.17056,177.22232,0.99627423,304.28806,175.64792,0.7036787,274.88205,181.6419,0.9519274,328.76404,209.28197,0.99953544,269.83142,220.08179,0.9995153,356.637,255.96309,0.99543226,257.6419,267.16757,0.9949085,347.2373,297.9904,0.99450487,251.64883,311.33713,0.9946104,335.2164,291.8899,0.9996923,297.84222,298.99402,0.9996755,346.35773,348.072,0.9994043,297.47595,369.48114,0.99938226,329.8692,394.81274,0.9928725,305.25305,435.82288,0.9908345,11.0
296.92044,179.57806,0.99809986,301.5415,171.80989,0.9872952,289.36826,173.82294,0.9944194,308.91397,172.43503,0.6608392,279.20676,178.06274,0.9381392,331.85852,207.22131,0.9994054,273.80072,219.00986,0.9993895,357.6335,253.16266,0.9948906,258.52942,265.52505,0.994578,349.9317,295.53452,0.9940707,252.73196,310.00388,0.9943007,336.37448,291.02682,0.9995788,299.60458,298.238,0.9995566,343.4201,346.44263,0.99919754,297.60315,367.53143,0.99915266,329.26645,394.544,0.99115163,304.72052,434.17932,0.9884715,11.0
301.99826,176.95753,0.99818915,306.1654,168.99129,0.9855958,293.93573,171.17604,0.99579084,312.38232,170.55318,0.6008099,282.4831,176.50092,0.96233934,333.80576,206.829,0.9993674,274.96103,217.09192,0.99955994,357.4809,252.08354,0.992957,259.2189,264.69708,0.9954384,350.61865,293.04565,0.99169123,252.83328,310.78082,0.99454606,339.0427,290.90976,0.9996549,301.9468,297.73444,0.99970216,343.87735,351.60605,0.99930847,302.80322,372.70868,0.99939895,328.76315,397.0888,0.99188447,304.41388,436.51297,0.99080384,11.0
306.8275,174.0583,0.99768,310.99774,166.4578,0.98262066,298.58316,168.4411,0.99554646,316.39725,168.55127,0.5215294,285.95667,173.94025,0.9600264,334.7587,205.84018,0.9987513,277.9387,214.54535,0.99923944,357.40903,251.52493,0.9877527,260.79984,263.51227,0.9931902,351.61725,291.27078,0.9863071,253.81363,309.9677,0.9917551,339.37643,293.0113,0.9992938,303.812,298.7704,0.9994267,342.96582,356.3569,0.9986854,305.15717,373.3901,0.9989009,329.05396,400.4273,0.9872111,303.42856,433.7868,0.98639905,11.0
313.8701,170.77335,0.99762493,318.1358,163.44586,0.98169327,306.06567,165.18352,0.99548435,323.18106,165.45245,0.5207805,293.74188,170.12022,0.9584845,339.6735,204.60397,0.99857676,282.17554,211.28064,0.9993131,357.61182,251.16681,0.98648083,263.4117,261.40515,0.9947137,353.97473,289.33298,0.9859973,255.5971,309.1503,0.99350053,337.2057,294.0466,0.99921644,301.24478,298.59726,0.99943286,340.3494,357.24768,0.9986247,305.23566,371.81915,0.9989901,329.0234,402.23236,0.98718333,301.94537,434.2588,0.987722,11.0
318.06662,169.36273,0.997086,322.14697,162.19125,0.97577864,310.1162,164.04156,0.9950352,326.58865,164.72784,0.45523417,297.1529,169.71127,0.9598949,341.85718,204.81406,0.9980421,284.35406,210.94391,0.9992791,356.8767,251.13971,0.9812019,265.04575,260.81512,0.9950068,355.02658,288.92297,0.9815124,256.70886,308.4377,0.99370545,337.2755,294.75922,0.9989932,301.3515,299.09183,0.9993679,335.73206,356.60815,0.99837685,305.23367,371.26218,0.9989586,330.09915,402.8057,0.9861822,301.86136,433.87543,0.9879373,11.0
321.35742,168.57802,0.9969452,325.57724,161.44858,0.97453237,313.33395,163.17897,0.9949706,329.76385,164.1571,0.4307546,299.86444,168.85313,0.9586585,342.73572,204.73172,0.9977851,286.84442,210.32089,0.9991683,356.08777,250.88892,0.9806287,266.77,260.1996,0.9946254,355.08716,289.3771,0.9816065,257.62668,308.42847,0.99345857,336.6604,296.74628,0.9988819,301.7948,300.90768,0.9992861,335.85513,357.78458,0.99818724,305.38315,371.90598,0.99881786,330.9904,401.85446,0.98489535,301.93393,433.84857,0.9866361,11.0
324.78333,168.29056,0.99596477,328.97867,161.3703,0.9650433,316.98514,162.8193,0.9940329,332.63086,164.42363,0.36929122,303.28506,168.39072,0.9589533,344.2569,205.07216,0.99713093,289.035,209.73154,0.99905175,355.4109,252.25848,0.9761153,268.92245,260.21295,0.9944243,356.16534,289.68942,0.97730756,259.1729,308.9351,0.9929196,337.719,296.60278,0.9986389,303.16486,300.26428,0.9991843,337.46872,359.2742,0.9979079,305.4142,371.56662,0.998725,329.7434,402.70038,0.98366445,302.16943,433.70636,0.9863528,11.0
