motion,video_name,video_path
backhand,p10_backhand_s1.avi,THETIS\VIDEO_RGB\backhand\p10_backhand_s1.avi
backhand,p10_backhand_s2.avi,THETIS\VIDEO_RGB\backhand\p10_backhand_s2.avi
backhand,p10_backhand_s3.avi,THETIS\VIDEO_RGB\backhand\p10_backhand_s3.avi
backhand,p11_backhand_s1.avi,THETIS\VIDEO_RGB\backhand\p11_backhand_s1.avi
backhand,p11_backhand_s2.avi,THETIS\VIDEO_RGB\backhand\p11_backhand_s2.avi
backhand,p11_backhand_s3.avi,THETIS\VIDEO_RGB\backhand\p11_backhand_s3.avi
backhand,p12_backhand_s1.avi,THETIS\VIDEO_RGB\backhand\p12_backhand_s1.avi
backhand,p12_backhand_s2.avi,THETIS\VIDEO_RGB\backhand\p12_backhand_s2.avi
backhand,p12_backhand_s3.avi,THETIS\VIDEO_RGB\backhand\p12_backhand_s3.avi
backhand,p13_backhand_s1.avi,THETIS\VIDEO_RGB\backhand\p13_backhand_s1.avi
backhand,p13_backhand_s2.avi,THETIS\VIDEO_RGB\backhand\p13_backhand_s2.avi
backhand,p13_backhand_s3.avi,THETIS\VIDEO_RGB\backhand\p13_backhand_s3.avi
backhand,p14_backhand_s1.avi,THETIS\VIDEO_RGB\backhand\p14_backhand_s1.avi
backhand,p14_backhand_s2.avi,THETIS\VIDEO_RGB\backhand\p14_backhand_s2.avi
backhand,p14_backhand_s3.avi,THETIS\VIDEO_RGB\backhand\p14_backhand_s3.avi
backhand,p15_backhand_s1.avi,THETIS\VIDEO_RGB\backhand\p15_backhand_s1.avi
backhand,p15_backhand_s2.avi,THETIS\VIDEO_RGB\backhand\p15_backhand_s2.avi
backhand,p15_backhand_s3.avi,THETIS\VIDEO_RGB\backhand\p15_backhand_s3.avi
backhand,p16_backhand_s1.avi,THETIS\VIDEO_RGB\backhand\p16_backhand_s1.avi
backhand,p16_backhand_s2.avi,THETIS\VIDEO_RGB\backhand\p16_backhand_s2.avi
backhand,p16_backhand_s3.avi,THETIS\VIDEO_RGB\backhand\p16_backhand_s3.avi
backhand,p17_backhand_s1.avi,THETIS\VIDEO_RGB\backhand\p17_backhand_s1.avi
backhand,p17_backhand_s2.avi,THETIS\VIDEO_RGB\backhand\p17_backhand_s2.avi
backhand,p17_backhand_s3.avi,THETIS\VIDEO_RGB\backhand\p17_backhand_s3.avi
backhand,p18_backhand_s1.avi,THETIS\VIDEO_RGB\backhand\p18_backhand_s1.avi
backhand,p18_backhand_s2.avi,THETIS\VIDEO_RGB\backhand\p18_backhand_s2.avi
